date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-10,36.1501,99.5,44.13,74.86,67.63,69.3565,67.04,0.05622939,0.07509398,0.085898586,0.10379828,0.2917269,0.15081991,0.236433,-41.61793,-15.490386,-6.3976507,-1.5381935,0.9653697,3.6445887,6.808009,13.83478,26.227894,6.808009,-0.16151543,-0.16151543
2016-11-11,35.4699,99.07,44.06,74.76,67.56,69.28,67.1,0.04729754,0.08317304,0.088188484,0.12945983,0.27159962,0.14878368,0.23149778,-45.247894,-16.164095,-6.0782175,-0.77496326,1.9363465,4.887924,8.210087,15.503589,27.68976,8.210087,0.03896307,-0.122552365
2016-11-14,35.02,98.9077,44.0,74.15,67.38,69.61,67.7928,0.060461767,0.09445263,0.10563991,0.118969746,0.25893468,0.15051329,0.21102808,-46.875126,-17.181324,-6.7871623,-1.1945747,1.7420776,5.0621414,8.820616,16.674404,29.867834,8.820616,0.6314311,0.5088787
2016-11-15,35.8,99.06,44.25,74.85,67.67,70.3,68.33,0.13449755,0.0984308,0.08720805,0.1740528,0.20043607,0.08674689,0.21862787,-40.48387,-14.525523,-5.6065335,-0.8752797,1.6327633,4.289953,7.291952,14.675044,27.10093,7.291952,-0.019252695,0.48962602
2016-11-16,35.8,99.0692,44.3,75.07,67.78,70.18,68.01,0.17102925,0.088149056,0.08390947,0.15443459,0.20819323,0.09403221,0.20025226,-35.094017,-13.061647,-5.461685,-1.153896,1.1671314,3.5806475,6.4261813,13.9037,26.022972,6.4261813,0.3388233,0.8284493
2016-11-17,36.0,99.0,44.43,75.48,68.1,70.55,68.19,0.13953175,0.082168214,0.07877917,0.14819692,0.24427947,0.09080825,0.21623628,-38.245922,-14.390234,-6.0894117,-1.4853032,0.82877076,3.2025638,5.8980107,13.66259,25.68543,5.8980107,-0.18369526,0.64475405
2016-11-18,35.9763,98.63,44.31,75.27,67.98,70.35,68.05,0.11621631,0.07345784,0.07228271,0.17013255,0.2551141,0.079711944,0.23308448,-41.65957,-15.795321,-6.67409,-1.5405271,0.9791769,3.7091293,6.8022366,15.023474,27.530636,6.8022366,0.42515865,1.0699127
2016-11-21,35.9763,98.615,44.49,75.78,68.42,70.83,68.45,0.10552287,0.07620084,0.076878205,0.16306528,0.2505566,0.09002993,0.23774624,-45.40399,-17.925112,-8.245643,-2.612817,0.23285443,3.1482835,6.473724,15.131885,28.009699,6.473724,0.24796143,1.3178741
2016-11-22,35.9763,98.884,44.63,76.04,68.63,71.0308,68.7,0.07125641,0.07512712,0.07957278,0.13836622,0.2880151,0.10512588,0.24253653,-45.000885,-18.229853,-8.657919,-2.9125674,0.029589832,3.0440307,6.547879,15.62094,28.939146,6.547879,-0.003510549,1.3143635
2016-11-23,35.9763,98.587,44.52,76.2,68.43,71.1098,68.93,0.15695691,0.07910334,0.07683597,0.2248011,0.15206434,0.07258313,0.23765521,-50.711723,-20.223532,-9.251339,-2.9085228,0.35481435,3.900192,8.214544,18.65535,35.232452,8.214544,0.2115483,1.5259118
2016-11-25,35.9763,98.53,44.76,76.33,68.71,71.405,69.16,0.15708807,0.088343434,0.083450675,0.231077,0.13760231,0.07781017,0.2246284,-54.31019,-21.739065,-9.872516,-3.024611,0.59279335,4.523423,9.2785845,20.270645,37.979702,9.2785845,0.015239202,1.541151
2016-11-28,36.41,98.82,44.83,76.3,68.48,71.14,68.77,0.1282605,0.09662303,0.103425495,0.20988876,0.140456,0.10117711,0.22016911,-58.477097,-22.730736,-9.514107,-1.9474351,1.8965149,6.1993475,11.124033,21.945902,39.3166,11.124033,0.14494845,1.6860995
2016-11-29,36.4,98.8399,45.02,76.6,68.5,71.33,68.81,0.18003778,0.08777278,0.08443522,0.22684985,0.12273028,0.08870247,0.20947163,-61.268517,-23.525494,-9.482066,-1.7206433,2.3081517,6.7747865,11.893001,22.922764,41.897617,11.893001,-0.38949993,1.2965996
2016-11-30,36.45,98.8,44.45,75.42,68.1,71.13,69.07,0.1549472,0.08346792,0.078174494,0.22005501,0.15060467,0.07488096,0.2378697,-56.633327,-21.693077,-8.344125,-0.96368325,3.0585237,7.509092,12.596065,22.596798,40.172756,12.596065,-0.6899687,0.6066309
2016-12-01,35.87,98.84,44.08,74.0,67.87,70.5,69.17,0.060954433,0.0916448,0.09866336,0.24347705,0.188613,0.08721732,0.22943008,-54.114513,-21.193148,-8.151607,-0.42295006,3.9743743,8.805375,14.583758,26.537758,45.71443,14.583758,0.13008143,0.73671234
2016-12-02,35.74,99.2,44.22,74.44,67.87,70.5442,69.05,0.039010562,0.06898261,0.061638042,0.24393111,0.26946762,0.066699274,0.25027087,-52.397182,-21.446196,-8.676608,-0.84809375,3.771948,8.797113,15.165211,30.043629,53.02658,15.165211,0.43616307,1.1728754
2016-12-05,35.75,99.24,44.33,74.99,68.17,71.0999,69.44,0.040041514,0.094041765,0.057904284,0.19711079,0.28487092,0.056474954,0.26955572,-51.168953,-20.976612,-8.991355,-1.6866266,2.6509612,7.3537354,13.432771,27.756783,49.91462,13.432771,0.2666106,1.439486
2016-12-06,36.11,98.96,44.46,75.18,68.29,71.4699,69.83,0.04002846,0.10983062,0.06475632,0.1613596,0.28315058,0.07997753,0.26089695,-42.758945,-16.398418,-6.280366,-0.15774107,3.5749319,7.5844274,12.913007,25.291994,44.859142,12.913007,1.1072211,2.5467072
2016-12-07,36.4786,99.6099,45.01,76.16,69.19,72.32,70.95,0.036671687,0.15469837,0.08775037,0.1270941,0.2546358,0.097982794,0.2411668,-46.859715,-18.530003,-7.6103187,-1.2980587,2.1832654,6.1775136,11.402978,25.15788,46.247356,11.402978,0.12954831,2.6762555
2016-12-08,36.4786,99.06,45.03,76.13,69.33,72.75,71.32,0.03483516,0.035337552,0.035050083,0.22790846,0.25449592,0.20761433,0.20475851,-36.19313,-13.212704,-5.970708,-1.5991803,1.4053881,4.444398,7.9925747,15.378524,28.645853,7.9925747,0.30137408,2.9776297
2016-12-09,36.49,99.1418,45.32,76.35,69.7,72.7709,71.71,0.072718516,0.36932707,0.08039566,0.26439995,0.07273653,0.07009433,0.07032794,-40.625626,-14.616489,-5.5144706,-1.2355593,1.5937287,4.586672,8.136566,15.105934,30.504082,8.136566,-0.06051422,2.9171154
2016-12-12,36.18,99.1425,45.54,76.26,69.82,72.7537,71.44,0.07342421,0.41814676,0.113078095,0.20143744,0.06473532,0.06458473,0.064593405,-43.39427,-16.026077,-6.2567887,-1.3037535,1.7392358,4.9205728,8.630748,16.747372,33.426945,8.630748,0.3314099,3.2485254
2016-12-13,36.8,98.9394,45.77,76.89,70.32,73.12,71.85,0.11984909,0.27120867,0.14624512,0.3103971,0.05076149,0.050760113,0.05077838,-43.725666,-17.102724,-7.234282,-2.0562325,1.2193068,4.433808,8.30455,16.186975,31.87513,8.30455,-0.49652642,2.751999
2016-12-14,36.36,99.1212,45.32,76.43,69.75,72.325,71.18,0.05243511,0.37311208,0.20750314,0.21115044,0.05219202,0.05175739,0.05184979,-47.62757,-18.288425,-7.1514473,-1.4715774,2.0269594,5.433818,9.468537,17.887678,34.730194,9.468537,-0.07778531,2.6742136
