date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-10,36.1501,99.5,44.13,74.86,67.63,69.3565,67.04,0.097242475,0.45438394,0.087659195,0.0893633,0.08974848,0.092470445,0.08913219,-17.817127,-6.228897,-1.9326046,-0.39980933,0.83003294,2.1859717,3.3651733,5.4458456,10.54324,-17.817127,-0.35160813,-0.35160813
2016-11-11,35.4699,99.07,44.06,74.76,67.56,69.28,67.1,0.09535824,0.417964,0.10119884,0.09427193,0.096974,0.094411336,0.09982167,-18.195475,-6.0396214,-1.6816083,-0.04839116,1.2816395,2.7006528,4.084171,6.7508526,12.437994,-18.195475,-0.13270679,-0.48431492
2016-11-14,35.02,98.9077,44.0,74.15,67.38,69.61,67.7928,0.10112336,0.3963519,0.104351535,0.09691142,0.099204205,0.09780057,0.10425694,-17.883322,-5.862026,-1.3997236,0.17741308,1.53098,2.946929,4.3504276,6.9446588,12.735687,-17.883322,0.5531277,0.06881279
2016-11-15,35.8,99.06,44.25,74.85,67.67,70.3,68.33,0.10229905,0.4213067,0.10031005,0.092719704,0.09131594,0.09343522,0.09861329,-17.990408,-6.424241,-1.835951,-0.4662541,0.68870264,1.8414667,2.974811,5.211137,11.078419,-17.990408,-0.0040436694,0.06476912
2016-11-16,35.8,99.0692,44.3,75.07,67.78,70.18,68.01,0.13478322,0.34043255,0.11400484,0.10219933,0.09885495,0.10265076,0.107074335,-16.722303,-5.959893,-1.9938362,-0.6438833,0.34378982,1.4594166,2.61124,4.9546657,10.698469,-16.722303,0.22793421,0.29270333
2016-11-17,36.0,99.0,44.43,75.48,68.1,70.55,68.19,0.11313703,0.36857095,0.11277407,0.100932844,0.09792426,0.09974394,0.106916875,-16.85867,-6.4156733,-2.280267,-0.8844492,0.20960459,1.3322792,2.542306,4.847578,10.450813,-16.85867,-0.22964422,0.06305911
2016-11-18,35.9763,98.63,44.31,75.27,67.98,70.35,68.05,0.12335118,0.33180737,0.12126968,0.10689275,0.10133209,0.10168379,0.1136631,-18.051243,-7.3825474,-3.1309505,-1.5063757,-0.019042134,1.3032264,2.784699,5.3452673,11.21208,-18.051243,0.2688839,0.33194304
2016-11-21,35.9763,98.615,44.49,75.78,68.42,70.83,68.45,0.121866606,0.3266938,0.1192451,0.10787298,0.10467264,0.10377883,0.11587003,-18.625504,-7.96185,-3.7160447,-1.8989756,-0.41806912,1.0834367,2.6692367,5.4987226,11.316204,-18.625504,0.2266165,0.55855954
2016-11-22,35.9763,98.884,44.63,76.04,68.63,71.0308,68.7,0.1225075,0.30582482,0.12210767,0.11428124,0.1080712,0.10832566,0.11888194,-20.003593,-8.716256,-4.2234445,-2.2277744,-0.60465497,0.9945966,2.726573,5.766986,12.097204,-20.003593,-0.065875605,0.49268395
2016-11-23,35.9763,98.587,44.52,76.2,68.43,71.1098,68.93,0.10335072,0.39038783,0.11720145,0.09631338,0.094103396,0.09300525,0.105637975,-20.282684,-8.248418,-4.200119,-2.046356,-0.33098638,1.6244309,3.5005422,6.9812746,13.556648,-20.282684,0.14378162,0.63646555
