date,US_leading_index,US_coincident_index,US_lagging_index,US_leadind_credit_index,Close_USD_EUR,AVG_PE_SPX,Close_vix,Close_treasury
2013-02-01,88.51451975541939,95.1715315463892,88.62823183733687,-0.9385254000040635,0.7325,15.88098,12.9,2.04
2013-02-04,88.5639757502915,95.05142967442649,88.72032696847494,-1.0140688340849686,0.7398,15.70019,14.67,2.0
2013-02-05,88.58223039813959,95.00124445160351,88.75309873327853,-1.0417490689857647,0.7364,15.84453,13.72,2.04
2013-02-06,88.60127157410939,94.94669071513353,88.78671061598517,-1.0703680217489364,0.7396,15.80137,13.41,2.0
2013-02-07,88.62104040020671,94.88819273647891,88.82104467100936,-1.0997391960297604,0.7463,15.75854,13.5,1.99
2013-02-08,88.64147799843734,94.82617478710206,88.8559829527656,-1.1296760954835132,0.7482,15.72474,13.02,1.99
2013-02-11,88.70621464598742,94.62324382926226,88.96324370257207,-1.2210161814351144,0.7458,15.766,12.94,1.99
2013-02-12,88.7287385528095,94.55138871162056,88.9994194354019,-1.251351018133352,0.7433,15.85219,12.64,2.02
2013-02-13,88.75163684179401,94.47813498056871,89.03560966703647,-1.2813190982809026,0.7434,15.9085,12.98,2.05
2013-02-14,88.77485063494669,94.403906907569,89.07169645189023,-1.3107339255330435,0.7487,15.88311,12.66,2.0
2013-02-15,88.7983210542734,94.3291287640839,89.1075618443778,-1.3394090035450512,0.7482,15.83202,12.46,2.01
2013-02-19,88.89359143343657,94.03300091453765,89.24645057895636,-1.4429818962972878,0.7469,15.94547,12.31,2.03
2013-02-20,88.91746181372052,93.96183649056161,89.27943982583069,-1.4651607829377822,0.7529,15.74095,14.68,2.02
2013-02-21,88.94123555221334,93.89266762487462,89.31150000682601,-1.485480942269805,0.7583,16.41503407,15.22,1.99
2013-02-22,88.96485377092084,93.82591858893902,89.34251317635677,-1.5037558779486322,0.7583,16.55885709,14.17,1.97
2013-02-25,89.03418652838968,93.64443317426483,89.42809116030723,-1.5444443796187117,0.7653,16.254899,18.99,1.88
2013-02-26,89.05659388801412,93.591606171959,89.45373682812522,-1.552673457237527,0.7654,16.35417704,16.87,1.88
2013-02-27,89.07855133788229,93.54332035671659,89.4777457565513,-1.557924829479531,0.7607,16.56237905,14.73,1.91
2013-02-28,89.1,93.5,89.5,-1.560012,0.7653,16.54817937,15.51,1.89
2013-03-01,89.12088800145972,93.46196079143591,89.52041262739758,-1.558811176117217,0.7679,16.58596402,15.36,1.86
2013-03-04,89.1799775366251,93.37790935015086,89.57109614105674,-1.537001772404338,0.7679,16.66238387,14.01,1.88
2013-03-05,89.19842640036036,93.35915686601747,89.58469966104653,-1.5242954125895412,0.7666,16.66940877,13.48,1.9
2013-03-06,89.216223360978,93.34465801411123,89.59677125789524,-1.509186982874995,0.7697,16.83901996,13.53,1.95
2013-03-07,89.23335157100341,93.33418557487983,89.60737907308722,-1.491866208894001,0.7629,16.3289,13.06,2.0
2013-03-08,89.24979418296202,93.32751232877108,89.61659124810686,-1.4725228162798607,0.7692,16.40321,12.59,2.06
2013-03-11,89.29483995569109,93.32801555365855,89.63653534697517,-1.4042541829715793,0.7665,16.44594,11.56,2.07
2013-03-12,89.30837170063653,93.33426688451817,89.64084637614893,-1.378717572157871,0.7673,16.39373,12.27,2.03
2013-03-13,89.32113361014217,93.3431813107393,89.64410247257207,-1.3521069708775242,0.7717,16.42399,11.83,2.04
2013-03-14,89.33310883673344,93.35453161276972,89.64637177772899,-1.3246121047638408,0.769,16.51304,11.3,2.04
2013-03-15,89.34428053293574,93.36809057105721,89.64772243310402,-1.296422699450123,0.7645,16.5228,11.3,2.01
2013-03-18,89.37280596446277,93.41974718793978,89.64694391538134,-1.2095845046417757,0.772,16.43137,13.36,1.96
2013-03-19,89.38059506436318,93.43986857573324,89.64530138647237,-1.1805141988609344,0.7767,16.39501,14.39,1.92
2013-03-20,89.38749639650162,93.46106252202266,89.64308091520327,-1.151697982046566,0.7731,16.50804,12.67,1.96
2013-03-21,89.39349311340348,93.48310180725574,89.64035064305838,-1.1233255798319721,0.775,16.36115,13.99,1.95
2013-03-22,89.39856836759418,93.50575921188029,89.6371787115221,-1.0955867178504548,0.7698,16.47428,13.57,1.93
2013-03-25,89.4080968791534,93.5751679465805,89.62569437540826,-1.018068629637377,0.7778,16.42019,13.74,1.93
2013-03-26,89.40931780775351,93.59802563324868,89.62143722114982,-0.994761184921181,0.7777,16.54524,12.77,1.92
2013-03-27,89.4095330362695,93.6203653415472,89.61707911492176,-0.9730359086045699,0.7824,16.5338,13.15,1.87
2013-03-28,89.40872571722673,93.6419598519238,89.61268819820837,-0.9530825263208444,0.7801,16.60131,12.7,1.87
2013-04-01,89.39495260233605,93.71639154647451,89.59614831666008,-0.8947253604870063,0.7785,16.53278,13.58,1.86
2013-04-02,89.38890993789877,93.73120193711247,89.59253889308339,-0.886077705010436,0.78,16.62524,12.78,1.88
2013-04-03,89.38196667737203,93.74450409220816,89.58917423358109,-0.8796552210406215,0.7786,16.45547,14.21,1.83
2013-04-04,89.37421749143962,93.75637093205576,89.58605684246432,-0.8753050960478933,0.7732,16.52204,13.89,1.78
2013-04-05,89.36575705078535,93.76687537694959,89.58318922404413,-0.8728745175025832,0.7697,16.43353,13.92,1.72
2013-04-08,89.33705490732963,93.79094354485082,89.57611004807471,-0.8755719352544742,0.7682,16.53384,13.19,1.76
2013-04-09,89.32669615462619,93.796727612872,89.5742665635524,-0.8792914172021502,0.7644,16.58978,12.84,1.78
