date,tic,close
2016-03-17,Durbl,1.12
2016-03-18,Durbl,0.75
2016-03-21,Durbl,0.19
2016-03-22,Durbl,-0.5
2016-03-23,Durbl,-2.24
2016-03-24,Durbl,-0.18
2016-03-28,Durbl,0.39
2016-03-29,Durbl,1.17
2016-03-30,Durbl,0.09
2016-03-31,Durbl,0.89
2016-04-01,Durbl,-0.83
2016-04-04,Durbl,-1.26
2016-04-05,Durbl,-0.34
2016-04-06,Durbl,1.23
2016-04-07,Durbl,-1.99
2016-04-08,Durbl,0.09
2016-04-11,Durbl,0.43
2016-04-12,Durbl,0.67
2016-04-13,Durbl,2.79
2016-04-14,Durbl,-0.06
2016-04-15,Durbl,-0.25
2016-04-18,Durbl,1.07
2016-04-19,Durbl,0.57
2016-04-20,Durbl,0.57
2016-04-21,Durbl,-0.09
2016-04-22,Durbl,0.21
2016-04-25,Durbl,-0.63
2016-04-26,Durbl,1.46
2016-04-27,Durbl,0.02
2016-04-28,Durbl,-0.73
2016-04-29,Durbl,-1.27
2016-05-02,Durbl,0.36
2016-05-03,Durbl,-1.54
2016-05-04,Durbl,-1.69
2016-05-05,Durbl,-0.72
2016-05-06,Durbl,0.8
2016-05-09,Durbl,-0.65
2016-05-10,Durbl,1.53
2016-05-11,Durbl,-0.91
2016-05-12,Durbl,-0.16
2016-05-13,Durbl,-1.24
2016-05-16,Durbl,0.78
2016-05-17,Durbl,-0.77
2016-05-18,Durbl,0.05
2016-05-19,Durbl,-0.93
2016-05-20,Durbl,1.09
2016-05-23,Durbl,-0.48
2016-05-24,Durbl,1.85
2016-05-25,Durbl,1.33
2016-05-26,Durbl,-0.22
2016-05-27,Durbl,0.33
2016-05-31,Durbl,0.2
2016-06-01,Durbl,-1.22
2016-06-02,Durbl,0.64
2016-06-03,Durbl,-1.25
2016-06-06,Durbl,1.08
2016-06-07,Durbl,1.53
2016-06-08,Durbl,0.47
2016-06-09,Durbl,-1.01
2016-06-10,Durbl,-1.96
2016-06-13,Durbl,-0.88
2016-06-14,Durbl,-0.83
2016-06-15,Durbl,0.67
2016-06-16,Durbl,0.24
2016-06-17,Durbl,0.47
2016-06-20,Durbl,1.54
2016-06-21,Durbl,-0.8
2016-06-22,Durbl,-1.05
2016-06-23,Durbl,1.61
2016-06-24,Durbl,-5.85
2016-06-27,Durbl,-3.41
2016-06-28,Durbl,1.82
2016-06-29,Durbl,1.89
2016-06-30,Durbl,1.05
2016-07-01,Durbl,1.52
2016-07-05,Durbl,-2.67
2016-07-06,Durbl,0.75
2016-07-07,Durbl,0.89
2016-07-08,Durbl,2.46
2016-07-11,Durbl,1.51
2016-07-12,Durbl,1.31
2016-07-13,Durbl,-0.38
2016-07-14,Durbl,0.44
2016-07-15,Durbl,-0.02
2016-07-18,Durbl,0.78
2016-07-19,Durbl,-0.12
