date,Durbl,Enrgy,HiTec,Hlth,Manuf,NoDur,Other,Shops,Telcm,Utils,Durbl_share,Enrgy_share,HiTec_share,Hlth_share,Manuf_share,NoDur_share,Other_share,Shops_share,Telcm_share,Utils_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0072,0.0027,-0.0009,-0.0006,0.0008,-0.0001,-0.0037,0.19164293,0.030250544,0.10510049,0.19577299,0.03175569,0.026987642,0.17192948,0.17949493,0.026720896,0.040344413,-12.60893,-7.0248246,-4.8256783,-0.60657156,1.2272662,2.4469512,3.188689,3.7557006,7.526794,7.526794,0.49349179347502437,1.0004041701830262
2016-03-22,-0.005,-0.0017000000000000001,0.0012,0.0131,-0.0022,-0.008,-0.0031,-0.0016,-0.0027,-0.0016,0.21645738,0.030983588,0.07665608,0.22034536,0.037685893,0.03064505,0.18058528,0.14302619,0.031782858,0.031832386,-11.807693,-7.2463174,-4.9228997,-0.46403068,0.98682827,1.8926965,3.6699655,4.1647367,7.2756853,7.2756853,-14.041325960199464,0.9888996648222704
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0126,-0.0096,-0.001,-0.008,-0.0025,-0.0095,0.0009,0.20147361,0.03134739,0.10600954,0.20185766,0.04194141,0.03077514,0.15097436,0.17171748,0.03232407,0.03157942,-11.914727,-7.414572,-5.180603,-0.7130048,1.0800675,1.6625057,3.8744812,4.3277845,7.3510323,7.3510323,0.03428567793464418,0.988927433123186
2016-03-24,-0.0018,0.0068000000000000005,0.0009,0.0001,-0.0016,-0.0011,-0.0044,0.0031,0.005699999999999999,0.0037,0.20665978,0.031030985,0.091694094,0.20820059,0.04038819,0.030440295,0.16367856,0.16445334,0.032291204,0.031162968,-11.912226,-7.2509193,-5.1290345,-0.55306065,1.1515616,1.6131486,3.930872,4.5967755,7.1374865,7.1374865,1.003589986811175,0.9897402731474
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,-0.0031,0.0015,0.0064,0.0015,0.0029,0.004699999999999999,-0.0036,0.19801684,0.030788168,0.10363181,0.2006653,0.04442279,0.029964058,0.15245883,0.17778286,0.0312972,0.030972203,-12.30563,-7.2655487,-5.192768,-0.6839809,1.0503453,1.7440485,3.7829504,4.308049,7.598289,7.598289,13.62181563333606,1.0007820909407672
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0146,0.0079,0.0103,0.005600000000000001,0.0098,0.01,0.0148,0.22027147,0.03108326,0.069061406,0.22277075,0.033899914,0.031189008,0.1926016,0.13492583,0.031276226,0.032920506,-12.02713,-7.037649,-4.7437496,-0.17033227,1.2589301,1.8458189,3.8332603,4.4507303,7.101445,7.101445,3.392909423689925,1.0035630598084275
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,-0.0012,0.0031,0.0048,0.0063,0.006999999999999999,0.0014000000000000002,-0.0013,0.22656,0.032083932,0.06703543,0.22758047,0.031991184,0.036288656,0.21653327,0.094850756,0.03161204,0.035464246,-11.679515,-6.792134,-4.9035416,-0.07193883,1.3562157,2.034404,4.1081223,4.3601103,6.778011,6.778011,2.1434925054935396,1.0053248369562486
2016-03-31,0.0089,-0.0008,-0.0005,0.0033,-0.0046,-0.0044,-0.0026,-0.003,0.0008,0.0051,0.21720828,0.031008521,0.07978061,0.21939023,0.031982522,0.031157326,0.19981411,0.12606147,0.030479468,0.03311748,-11.890611,-6.843372,-4.816844,-0.23734398,1.2781712,2.0785077,3.7548041,4.102059,7.296412,7.296412,5.719091148764206,1.0100337185096224
2016-04-01,-0.0083,-0.0124,0.0072,0.0159,0.0063,0.0118,0.0055000000000000005,0.0076,0.0045000000000000005,0.0015,0.22109972,0.031607147,0.06815242,0.22219929,0.03143627,0.03464705,0.21029714,0.11390181,0.030646645,0.036012568,-11.830066,-6.6895227,-4.7264013,-0.009354606,1.5013657,2.1643622,3.819865,4.3536806,6.9908214,6.9908214,-4.810642369135981,1.0060542664207457
2016-04-04,-0.0126,-0.0074,-0.0042,0.0092,-0.0085,-0.0036,-0.0072,-0.0055000000000000005,0.0005,-0.0044,0.20536037,0.030115193,0.09482339,0.20932391,0.032799702,0.029089496,0.17867999,0.15941413,0.029769074,0.03062477,-11.749123,-6.7494187,-4.723078,-0.20983393,1.3722848,1.9735096,3.7012503,4.3016367,7.2345767,7.2345767,-8.874061150404646,0.9987424014896702
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0016,-0.0049,-0.0075,-0.013300000000000001,-0.0088,-0.0088,-0.018799999999999997,0.18134755,0.031621404,0.13295001,0.17460126,0.04331775,0.030063275,0.14656705,0.19723247,0.031439528,0.030859794,-11.642532,-6.88924,-4.8249583,-0.6389962,1.1020824,1.7208166,3.4420133,4.0884075,7.5234084,7.5234084,16.648534340757763,1.0123604171889098
