date,Durbl,Enrgy,HiTec,Hlth,Manuf,NoDur,Other,Shops,Telcm,Utils,Durbl_share,Enrgy_share,HiTec_share,Hlth_share,Manuf_share,NoDur_share,Other_share,Shops_share,Telcm_share,Utils_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.009899999999999999,-0.0076,-0.0063,-0.0174,-0.0147,-0.0148,0.0002,0.14422709,0.10991046,0.15907302,0.15755925,0.02577918,0.02188375,0.16106401,0.15350284,0.030423693,0.03657668,-4.1633286,-3.4712,-2.7169127,-1.7575033,-0.26917902,-0.2609546,0.28084564,1.5722512,2.850808,-0.26917902,3.563289054187006,0.99864415739902
2016-04-08,0.0009,0.021099999999999997,0.0005,-0.0042,0.0049,0.0052,0.0040999999999999995,-0.0012,0.0022,0.0074,0.14450139,0.10770555,0.16197649,0.15398362,0.02851462,0.022353584,0.16389617,0.16041769,0.027061218,0.029589694,-3.8537571,-3.206594,-2.5702147,-1.5564167,-0.22687308,-0.20315565,0.20287594,1.6582209,2.70756,-0.22687308,-2.9036978991854876,0.9962692508127191
2016-04-11,0.0043,-0.004,-0.0033,-0.0074,-0.0011,-0.0069,0.0019,-0.0049,-0.0051,-0.0032,0.14419517,0.10013809,0.15981375,0.15826501,0.024761504,0.02220757,0.16282816,0.1547706,0.033983592,0.039036576,-3.8191557,-2.9012594,-2.4093332,-1.4836363,-0.23613112,0.046277512,0.21718754,1.2735077,2.786325,-0.23613112,13.048016328191293,1.0069157188322762
2016-04-12,0.0067,0.0292,0.0055000000000000005,0.0101,0.0091,0.0069,0.012199999999999999,0.0078000000000000005,0.0079,0.0123,0.13877447,0.13871783,0.116509125,0.15074764,0.022213168,0.022754388,0.15077694,0.12741312,0.024659961,0.10743336,-4.7841063,-3.7667873,-2.387178,-1.32282,-0.061852265,-0.009518203,0.80741465,1.7168576,2.1284988,-0.061852265,14.893280522530894,1.0191976830117315
2016-04-13,0.0279,0.0021,0.015600000000000001,0.0118,0.012199999999999999,-0.0064,0.023,0.0105,0.0044,-0.0055000000000000005,0.139667,0.1358693,0.11678778,0.14986926,0.023578549,0.022632511,0.14668997,0.1351621,0.022843024,0.10690049,-5.3044086,-4.119179,-2.4694984,-1.2678956,-0.03763925,0.050822113,0.8301234,1.7896413,2.2422957,-0.03763925,1.0896374127073039,1.0201072292249618
2016-04-14,-0.0006,0.0052,-0.0013,0.0031,-0.0005,-0.0063,0.0028000000000000004,0.0003,-0.0022,-0.0027,0.14898567,0.1226113,0.14390214,0.15423441,0.02635788,0.022445993,0.15309204,0.15052353,0.024255589,0.053591512,-5.039379,-3.7806828,-2.4281213,-1.2516781,-0.16394989,0.217512,0.3942449,1.6594629,2.5507488,-0.16394989,-1.839628119741398,1.0185702775918466
2016-04-15,-0.0025,-0.0121,-0.0034000000000000002,-0.0007000000000000001,0.0029,0.0058,-0.0024,0.0055000000000000005,0.0023,0.0043,0.15001607,0.12148661,0.14535134,0.15429592,0.026761288,0.02257006,0.15313154,0.15291826,0.02436624,0.049102675,-4.9445224,-3.7570243,-2.3893533,-1.2297713,-0.19178256,0.13727513,0.48013774,1.6792144,2.537139,-0.19178256,9.965866331992268,1.0268839018639357
2016-04-18,0.010700000000000001,0.0166,0.0044,0.009000000000000001,0.0043,0.0043,0.0055000000000000005,0.0068000000000000005,0.0083,0.0044,0.14572589,0.13915202,0.0860979,0.15267664,0.02771602,0.029213186,0.13894549,0.13316871,0.021661349,0.12564276,-6.1154394,-4.6731334,-2.3048422,-1.2950494,-0.18566209,0.11528419,0.76723254,1.6653014,2.557851,-0.18566209,5.624847031476705,1.0316145037206683
2016-04-19,0.005699999999999999,0.0171,-0.0064,0.0002,0.0074,0.0017000000000000001,0.009000000000000001,-0.0034000000000000002,0.005,0.0060999999999999995,0.14646752,0.12838015,0.10963012,0.15285842,0.033539478,0.024701865,0.13989003,0.13795836,0.022206698,0.104367316,-5.325404,-4.016215,-2.1052454,-1.2340231,-0.20233946,0.12963343,0.6110319,1.5978903,2.5165248,-0.20233946,1.8849874504450255,1.0332071166553207
2016-04-20,0.005699999999999999,0.0084,0.0024,0.0040999999999999995,-0.004,-0.0125,0.0092,0.001,-0.003,-0.0208,0.14317699,0.13545948,0.10633051,0.14982495,0.03174167,0.024725502,0.14210573,0.12729454,0.02171838,0.11762223,-5.2291493,-3.8894064,-2.084775,-1.3292811,-0.16236694,0.13033646,0.3898166,1.7443281,2.4260223,-0.16236694,-5.719394485926068,1.0283673794842987
2016-04-21,-0.0009,-0.0040999999999999995,0.0004,0.0077,-0.0046,-0.0155,-0.0070999999999999995,-0.0076,-0.0095,-0.021099999999999997,0.14273283,0.13088493,0.12241029,0.14999667,0.029373292,0.022254758,0.14607352,0.13366175,0.022351969,0.10026005,-5.3378882,-4.1282883,-2.2536242,-1.4563882,-0.27331784,0.05706695,0.37226644,1.5052648,2.6313188,-0.27331784,3.602328714498082,1.0314013822199002
2016-04-22,0.0021,0.016399999999999998,-0.0141,0.0027,0.0045000000000000005,0.0077,0.0059,-0.0037,0.0087,0.0096,0.14816324,0.1284444,0.12850276,0.1538067,0.029520867,0.022840356,0.14759359,0.1382534,0.022696292,0.08017832,-5.253866,-4.013466,-2.3443246,-1.4672046,-0.19721125,0.10136008,0.24639446,1.6347086,2.5086,-0.19721125,-4.004074653445206,1.0280190659774144
2016-04-25,-0.0063,-0.01,-0.0014000000000000002,-0.0025,-0.0053,0.0051,-0.0062,0.0028000000000000004,0.005,-0.0005,0.14801821,0.12878415,0.13963193,0.15382645,0.028455736,0.02206912,0.15249862,0.14267902,0.023244966,0.060791694,-5.09202,-3.8891826,-2.323753,-1.5142533,-0.31990778,0.10847273,0.21069741,1.3832192,2.7823946,-0.31990778,6.176041742558973,1.0332189747928306
2016-04-26,0.0146,0.015300000000000001,-0.0026,-0.0054,0.006,0.0007000000000000001,0.0079,0.0034000000000000002,-0.0009,0.0044,0.14834633,0.13286072,0.14065576,0.15342394,0.029186178,0.022241678,0.15307905,0.14271776,0.023397364,0.054091185,-4.484661,-3.512349,-2.1750557,-1.388319,-0.3063554,-0.038126692,0.32211998,1.5969969,2.5355752,-0.3063554,3.384660630927871,1.0360830989427972
2016-04-27,0.0002,0.0161,-0.0066,-0.0017000000000000001,0.0077,0.0043,0.0022,0.0011,0.0074,0.0149,0.14948577,0.13305011,0.1424248,0.15445104,0.028650813,0.0223827,0.15462625,0.14208604,0.02372389,0.04911859,-4.2343817,-3.3168867,-2.1631083,-1.3513122,-0.17777175,0.02898937,0.28127015,1.6872791,2.3291814,-0.17777175,-12.163969567104521,1.025761327210994
2016-04-28,-0.0073,-0.0146,-0.0137,-0.004699999999999999,-0.0092,0.0018,-0.0104,-0.0149,-0.0059,-0.0033,0.14691341,0.13112648,0.14831969,0.15397085,0.027545815,0.021714712,0.15632874,0.14263654,0.024225136,0.04721861,-4.1488867,-3.3177369,-2.100583,-1.4516995,-0.32393476,-0.0035813525,0.30141968,1.3006457,2.673262,-0.32393476,-7.947040772105891,1.0190850232881479
2016-04-29,-0.0127,-0.0033,-0.0075,-0.0167,-0.0034999999999999996,0.0040999999999999995,-0.0060999999999999995,0.0021,-0.0053,0.005600000000000001,0.14542219,0.12826736,0.150286,0.15364407,0.026683476,0.021655142,0.15674494,0.14521413,0.02473407,0.047348555,-4.217995,-3.3964138,-2.1004035,-1.4549232,-0.41710928,-0.06283665,0.36840698,1.2398635,2.7936494,-0.41710928,8.606242026205337,1.0262680637105057
2016-05-02,0.0036,0.0022,0.006999999999999999,0.0067,0.0051,0.009300000000000001,0.0085,0.0138,0.009399999999999999,0.0054,0.14831446,0.13096671,0.1492777,0.1529263,0.027530001,0.022085646,0.15716717,0.14816028,0.024356954,0.03921476,-4.14501,-3.3418374,-2.1042912,-1.3271688,-0.3306925,-0.07488864,0.40096775,1.4964756,2.5533206,-0.3306925,-14.478967534561077,1.0140982832222
2016-05-03,-0.0154,-0.0252,-0.0086,-0.0068000000000000005,-0.0108,-0.0060999999999999995,-0.0138,-0.0069,-0.01,-0.0021,0.14399102,0.13245274,0.1470737,0.1517909,0.027352678,0.021652022,0.155857,0.14432162,0.024339143,0.051169187,-3.9886956,-3.398066,-1.9636072,-1.341027,-0.3509513,-0.23867004,0.6058111,1.445988,2.4900615,-0.3509513,-10.425591590140707,1.0054393360206133
2016-05-04,-0.0169,-0.0138,-0.0063,-0.0121,-0.0067,-0.0003,-0.0111,-0.0008,-0.0006,0.0105,0.14427564,0.12663014,0.1522058,0.15308827,0.027344016,0.021727264,0.15785672,0.14877607,0.025097502,0.04299852,-3.9581702,-3.3498766,-2.0438123,-1.37894,-0.4153702,-0.21406098,0.5644169,1.3578839,2.6696572,-0.4153702,-0.964863080631635,1.0046448140753708
2016-05-05,-0.0072,0.009399999999999999,0.0001,0.0046,-0.003,-0.0016,-0.003,-0.0072,0.0011,-0.0006,0.14173876,0.13059123,0.14547461,0.15066563,0.027938226,0.021624085,0.1554306,0.14503914,0.02426537,0.057232402,-4.260903,-3.5488029,-2.0499,-1.4142808,-0.41978094,-0.21346241,0.55017155,1.3607287,2.6671476,-0.41978094,3.3990660169057407,1.0074415823362914
2016-05-06,0.008,-0.0013,0.0069,-0.0038,0.0073,0.0059,0.0044,0.0042,0.0052,-0.0063,0.14505784,0.1320419,0.14336222,0.15162526,0.028532788,0.022084462,0.1551804,0.14468932,0.024294222,0.05313152,-4.28276,-3.4957774,-2.0612,-1.3285239,-0.29531556,-0.1468236,0.47260746,1.559018,2.4227226,-0.29531556,0.22794313614857184,1.0076296571878591
2016-05-09,-0.006500000000000001,-0.011899999999999999,0.0,0.0118,-0.0072,0.0046,-0.003,0.009399999999999999,-0.0033,0.0038,0.1452868,0.13081068,0.14390735,0.1514602,0.028745573,0.022168605,0.15537609,0.14662625,0.024460228,0.05115822,-4.32799,-3.5159736,-2.1035607,-1.3301994,-0.28915697,-0.13511157,0.461815,1.5805191,2.4338748,-0.28915697,15.143596588353285,1.020126902919975
2016-05-10,0.015300000000000001,0.0196,0.0139,0.0066,0.0147,0.0134,0.0152,0.0070999999999999995,0.013500000000000002,0.0032,0.14462781,0.1299446,0.13020204,0.1513497,0.030064091,0.022558153,0.1495259,0.14294909,0.023375263,0.07540347,-4.700123,-3.794553,-2.292104,-1.3056363,-0.18837923,-0.12739283,0.56482977,1.8848537,2.2554176,-0.18837923,-10.27166601658566,1.011545082411107
2016-05-11,-0.0091,0.0025,-0.0059,-0.0127,-0.0063,-0.0101,-0.0101,-0.0191,-0.011399999999999999,0.0026,0.14165269,0.1305153,0.13568516,0.14949241,0.029258095,0.021848598,0.15189065,0.14388067,0.023567617,0.07220875,-4.713798,-3.8311987,-2.2291262,-1.3782084,-0.34146944,-0.18144259,0.6395496,1.583437,2.5675948,-0.34146944,-1.219737040185581,1.0105345836356487
