date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.40274847,0.39762923,0.05512605,0.08309042,0.06140572,-11.739175,-4.8882957,-3.458303,-0.60150915,0.67195517,1.9085149,3.2018657,5.4934382,6.1503124,0.67195517,-4.514472333576695,0.9963026434614441
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.31645432,0.3173318,0.043046463,0.08196474,0.24120271,-14.344718,-6.1515417,-4.076269,-0.80698156,0.19523567,2.457675,4.0584745,6.97209,7.1657,0.19523567,-19.655942869264607,0.9802639310614643
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.27733314,0.28129292,0.03806896,0.1591333,0.24417162,-17.437729,-5.864776,-4.7172375,-2.287971,-1.095722,2.6959057,4.5846076,6.385113,6.9782763,-1.095722,1.0353337834078473,0.9810951352911811
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.30457267,0.3112973,0.04213251,0.17181909,0.17017832,-17.314665,-5.594025,-4.599599,-1.9883153,-0.3870178,2.5667677,4.1352763,6.060607,6.964012,-0.3870178,1.2471624309326166,0.9820972524033073
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.3083808,0.3124407,0.0422955,0.15748301,0.1794,-15.731774,-5.302088,-4.311498,-1.7671462,-0.48653418,2.3666792,3.910509,5.872484,6.580575,-0.48653418,10.823546462973928,0.9908030470327474
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.38335052,0.38683295,0.052379042,0.094039746,0.083397746,-18.348915,-5.789266,-4.6664515,-2.0709548,-0.23305637,2.3604553,4.1206403,6.2493997,7.426528,-0.23305637,1.791619834963311,0.9922568901053157
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.39255136,0.39508498,0.05347032,0.079927884,0.07896538,-20.26082,-6.203201,-5.3624926,-2.9609418,-0.8432248,2.6069062,4.3737984,6.3310237,8.00513,-0.8432248,2.9509069598926683,0.9946549718113054
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.3913962,0.3942791,0.05337103,0.08196816,0.0789855,-18.45614,-5.859571,-4.9008875,-2.4508069,-0.6751483,2.4372244,4.2267137,6.1928463,7.495876,-0.6751483,-7.702816213039404,0.9883800787373919
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.4028494,0.40531337,0.054887213,0.07326748,0.06368247,-18.548855,-5.873179,-4.883126,-2.3757157,-0.41830498,2.34601,4.0779,6.1858726,7.6183476,-0.41830498,-11.213686331517563,0.9793027780172594
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.38398913,0.3888002,0.05262558,0.09867914,0.075905904,-17.572361,-5.667768,-4.6922116,-2.2628746,-0.668299,2.4836943,4.26182,6.016126,7.099781,-0.668299,-7.030342853248889,0.9736640930978487
