date,BIG HiBM,BIG LoBM,ME1 BM2,BIG HiBM_share,BIG LoBM_share,ME1 BM2_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2013-06-07,0.020499999999999997,0.0139,0.0031,0.689405,0.1389231,0.17167188,-0.50366974,-0.40308222,-0.493974,-0.28813013,-0.48538125,0.34678972,-0.2499807,0.22585753,0.7795334,-0.50366974,0.00510820554792881,1.0263463427723765
2013-06-10,0.004699999999999999,-0.0018,0.0124,0.3731327,0.20663333,0.42023402,-0.6071683,-0.26073238,-1.2994268,-0.6906948,-0.44999847,0.3191321,-0.16316761,-0.16611415,0.64871955,-0.6071683,-0.013932697612047195,1.0120465695332985
2013-06-11,-0.019,-0.008,-0.012199999999999999,0.4225747,0.24180347,0.3356218,-0.3822233,-0.4610107,-0.72377914,-0.54034203,-0.41240796,-0.16213068,-0.60579485,0.0010506064,0.91563064,-0.3822233,-0.009002885872125627,1.002935229770514
2013-06-12,-0.008100000000000001,-0.0076,-0.0111,0.35946319,0.2557194,0.38481745,-0.5275553,-0.5572914,-1.3129221,-0.74690163,-0.5062824,-0.07569572,-0.53838056,-0.14144135,0.9539191,-0.5275553,0.01417328521311283,1.0171501168323305
2013-06-13,0.0169,0.0105,0.0141,0.29162532,0.22884187,0.47953278,-0.59572923,-0.5771768,-1.2044502,-0.6462528,-0.43864104,0.115837425,-0.40918908,-0.05140724,0.57232267,-0.59572923,-0.009753544002771378,1.0072292984103823
2013-06-14,-0.0148,-0.0044,-0.0092,0.27685648,0.23939326,0.48375022,-0.6414229,-0.6850846,-1.49559,-0.78808814,-0.39984033,-0.06641032,-0.44246507,-0.16982886,0.5229372,-0.6414229,0.006359346932172776,1.013634618959223
2013-06-17,0.009399999999999999,0.0054,0.0051,0.31129298,0.2551686,0.43353838,-0.60277253,-0.73781353,-1.2890922,-0.73429185,-0.3425338,-0.10381326,-0.45998028,-0.09417761,0.4369355,-0.60277253,0.008348277777433395,1.0220967223231172
2013-06-18,0.0068000000000000005,0.0073,0.0101,0.32821032,0.26189798,0.40989164,-0.5914628,-0.7173024,-1.2498413,-0.7415776,-0.30520234,-0.11405219,-0.41696516,-0.091408454,0.39333004,-0.5914628,-0.013480152761936186,1.0083187023687274
2013-06-19,-0.0115,-0.015600000000000001,-0.0137,0.30052704,0.25973418,0.43973878,-0.6117844,-0.6653149,-1.4296787,-0.7941087,-0.29280913,-0.14914751,-0.3315759,-0.16841125,0.40023616,-0.6117844,-0.024695762306451798,0.9834175033658795
2013-06-20,-0.0215,-0.024300000000000002,-0.0271,0.33543062,0.26810718,0.3964622,-0.8423249,-0.7506091,-2.6213796,-1.3829651,-0.45723137,-0.153378,-0.3107432,-0.63638616,0.9583287,-0.8423249,-0.0005443533957004544,0.9828821767085311
2013-06-21,-0.0075,-0.0006,0.0054,0.30329362,0.28041935,0.41628706,-1.1775142,-1.0654259,-2.9958522,-1.6845927,-0.5196583,-0.22996868,-0.5161193,-0.5750676,0.72831416,-1.1775142,-0.013127153950929641,0.9699797310592533
2013-06-24,-0.0215,-0.0078000000000000005,-0.0106,0.33479232,0.28285795,0.38234982,-0.9481331,-0.8838455,-2.626357,-1.3974981,-0.485503,-0.19704233,-0.43237823,-0.5382589,0.7913062,-0.9481331,0.011529245895147323,0.9811628658919442
2013-06-25,0.0212,0.006500000000000001,0.0068000000000000005,0.38393864,0.26861742,0.34744385,-0.8353352,-0.97950107,-1.8147875,-1.282263,-0.3573417,-0.22393166,-0.49569777,-0.2045758,0.54270333,-0.8353352,0.0067249095886945725,0.987761097456852
2013-06-26,0.0072,0.0109,0.003,0.4510646,0.23129314,0.3176423,-0.8209899,-1.0248469,-1.5794615,-1.3501655,-0.27196133,-0.31996053,-0.379552,-0.275409,0.29556045,-0.8209899,0.011850072476267815,0.9994661380509535
2013-06-27,0.0129,0.0032,0.0167,0.4667128,0.22204487,0.3112423,-0.8190601,-0.93301415,-1.5435123,-1.2453043,-0.26853752,-0.27889955,-0.32291487,-0.25881085,0.25840765,-0.8190601,-0.005625442346930504,0.9938436989136386
2013-06-28,-0.0074,-0.0043,-0.0039000000000000003,0.4793673,0.22093454,0.29969823,-0.8181942,-0.90425307,-1.4605026,-1.2017518,-0.24837041,-0.2945342,-0.27953523,-0.25752524,0.20188269,-0.8181942,0.009084784205257893,1.0028725544520243
2013-07-01,0.0045000000000000005,0.0079,0.0173,0.5208853,0.20242706,0.2766876,-0.79955304,-0.8833906,-1.3316157,-1.1703156,-0.24016574,-0.27298135,-0.253508,-0.20818463,0.16711494,-0.79955304,0.0006808419972658157,1.0035553522050005
2013-07-02,0.0012,0.001,-0.0005,0.48992112,0.21303523,0.29704356,-0.7809689,-0.84985715,-1.3322691,-1.0843499,-0.24105632,-0.25644797,-0.226233,-0.22864154,0.18638733,-0.7809689,-0.00018558707535266895,1.0033691053022302
2013-07-03,-0.004,0.0025,0.0042,0.47113016,0.21631373,0.3125562,-0.7534096,-0.83311754,-1.2629844,-1.0657352,-0.21268201,-0.2563035,-0.18977629,-0.22367612,0.1619567,-0.7534096,0.016369932574033737,1.0197941899028962
2013-07-05,0.0199,0.0075,0.0172,0.37146205,0.2451369,0.38340107,-0.6911281,-0.6812236,-1.0502094,-0.7743945,-0.1837462,-0.14796714,-0.1297649,-0.105889924,0.07245693,-0.6911281,0.006414999870955943,1.0263361694995248
2013-07-08,0.008,0.0049,0.0059,0.40261877,0.23612832,0.36125296,-0.7135826,-0.771038,-1.0700067,-0.9441823,-0.18478325,-0.19688843,-0.12621202,-0.17428347,0.08621046,-0.7135826,0.007753189928829669,1.034293548752482
