date,Durbl,Manuf,NoDur,Durbl_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,0.0027,-0.0009,0.4151101,0.24323536,0.34165457,-1.1936101,-0.8935145,-0.15763804,-0.4676533,0.15828724,-0.25238335,-0.19371963,0.4136602,1.3852342,0.15828724,-6.634922658620636,0.9945659929085826
2016-03-22,-0.005,-0.0022,-0.008,0.3669427,0.30692494,0.32613242,-1.4730699,-1.168045,-0.54406434,-1.0490667,0.4003365,0.027371518,0.59578085,0.23124681,1.3803576,0.4003365,-14.107832110255416,0.9830744531456639
2016-03-23,-0.022400000000000003,-0.0096,-0.001,0.34711236,0.33977056,0.3131171,-1.5822316,-1.1775188,-0.69585055,-1.0377192,0.3783414,0.2750373,0.72888577,0.190173,1.3447083,0.3783414,-1.8865344600401808,0.981555531087806
2016-03-24,-0.0018,-0.0016,-0.0011,0.35519886,0.3322261,0.31257507,-1.3069388,-1.2386663,-0.6115351,-0.791618,0.25569955,0.22604123,0.76640046,0.34964564,1.1828073,0.25569955,4.732445883278369,0.9853599196482528
2016-03-28,0.0039000000000000003,0.0015,0.0064,0.346508,0.33535203,0.3181399,-1.4377923,-1.2175289,-0.62777007,-0.84126955,0.28865618,0.26117468,0.67963064,0.27841982,1.2691408,0.28865618,12.17518006859551,0.9951854187916551
2016-03-29,0.011699999999999999,0.0079,0.0103,0.4417417,0.20848425,0.34977403,-1.341444,-1.3361487,-0.7157533,-0.83321327,0.37441078,0.1441126,0.84299207,0.6400237,0.87700725,0.37441078,3.1700376490246382,0.9977691823013437
2016-03-30,0.0009,0.0031,0.0048,0.4527811,0.20412643,0.34309238,-1.5663977,-1.314199,-0.70158434,-1.0924101,0.55959105,0.08931713,0.80397224,0.62968266,0.75459373,0.55959105,1.9161185310673887,0.9993349841194727
2016-03-31,0.0089,-0.0046,-0.0044,0.42129648,0.2225158,0.3561877,-1.5851234,-1.2611965,-0.6561172,-1.0668087,0.5045026,0.12580457,0.72968376,0.48823395,0.9344977,0.5045026,2.5314224814515653,1.0014068424694327
2016-04-01,-0.0083,0.0063,0.0118,0.47986597,0.17890005,0.34123406,-1.5649835,-1.3320737,-0.75615335,-1.05011,0.6029002,0.022454344,0.74514014,0.77918315,0.6313004,0.6029002,-10.815368564782048,0.9925365852338868
2016-04-04,-0.0126,-0.0085,-0.0036,0.4010032,0.2443388,0.35465798,-1.675942,-1.1733823,-0.6677885,-1.1250545,0.5348837,0.15216881,0.65792286,0.37245315,1.032021,0.5348837,-6.467911205706253,0.987278896043299
2016-04-05,-0.0034000000000000002,-0.0049,-0.0075,0.34061983,0.33278346,0.32659674,-1.6706499,-1.1376593,-0.64633554,-0.99776065,0.41002166,0.25690228,0.52647984,0.21132365,1.2746359,0.41002166,11.400768712220748,0.9964973549689716
