date,Durbl,Manuf,NoDur,Durbl_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,0.0027,-0.0009,0.19552138,0.7057774,0.09870119,-16.20503,-4.391379,-2.2767975,1.2427754,2.7512617,7.6240616,10.795832,11.698883,16.399187,-16.20503,-4.506280775032658,0.9963093523546006
2016-03-22,-0.005,-0.0022,-0.008,0.11338218,0.7802982,0.10631964,-16.832056,-5.448389,-2.5109155,2.9109085,3.4904249,7.349446,10.919122,12.046757,16.94831,-16.832056,-12.476084385836721,0.9861291397793555
2016-03-23,-0.022400000000000003,-0.0096,-0.001,0.14104053,0.7365594,0.122400045,-17.356993,-6.360244,-2.4767585,3.496526,3.9412997,6.4344788,10.988303,12.190625,17.293875,-17.356993,-1.9671541511020425,0.9845403862733443
2016-03-24,-0.0018,-0.0016,-0.0011,0.11519069,0.77648515,0.10832427,-17.023998,-5.946008,-2.3962026,2.7450855,3.9329424,6.2236414,10.985976,11.985935,16.697218,-17.023998,2.7682567698993683,0.9867725407283325
2016-03-28,0.0039000000000000003,0.0015,0.0064,0.13771853,0.74201256,0.120268874,-17.290167,-6.251048,-2.5657718,2.9730666,3.8511252,6.1046524,11.009909,12.034631,17.096231,-17.290167,10.595634620532666,0.9953355884720935
2016-03-29,0.011699999999999999,0.0079,0.0103,0.12468014,0.7697028,0.105617054,-16.806461,-5.065588,-2.2328765,1.6073269,3.7489817,7.165464,11.642516,12.120007,16.916708,-16.806461,3.6347706263365827,0.998298583197995
2016-03-30,0.0009,0.0031,0.0048,0.13292271,0.7623241,0.104753226,-16.88011,-4.990952,-2.2867317,1.5150168,3.7071533,7.3577023,11.782469,12.189305,17.1003,-16.88011,-3.410342744011044,0.9955102618797593
2016-03-31,0.0089,-0.0046,-0.0044,0.13984022,0.75657207,0.10358763,-16.977736,-5.323083,-2.3949962,1.8371643,3.6345766,7.1171246,11.563561,12.097151,17.199682,-16.977736,5.888490234975735,1.000311287642165
2016-04-01,-0.0083,0.0063,0.0118,0.17792565,0.72189206,0.100182295,-16.788618,-4.7118998,-2.2342432,1.1350697,3.515483,7.55478,11.818083,12.288734,17.142471,-16.788618,-10.718140142982538,0.9915303895524384
2016-04-04,-0.0126,-0.0085,-0.0036,0.17210211,0.72746575,0.10043213,-17.15513,-5.63144,-2.3576784,2.1794043,3.3900414,6.8712068,11.5406685,12.174236,17.564667,-17.15513,-5.993087728420771,0.9866636175540904
2016-04-05,-0.0034000000000000002,-0.0049,-0.0075,0.22271205,0.64062655,0.13666147,-17.435507,-6.4675336,-2.6500034,3.0049827,3.4367037,6.133308,11.048301,12.006752,17.669802,-17.435507,10.259878583938168,0.9949544029097777
2016-04-06,0.0123,0.0070999999999999995,0.0088,0.17538264,0.72443247,0.1001848,-16.993061,-5.4454875,-2.3110197,1.9609339,3.424142,6.8715687,11.470721,12.083867,17.284885,-16.993061,-11.856935125935628,0.9852925603147201
2016-04-07,-0.0199,-0.0076,-0.0063,0.2322849,0.58550775,0.18220733,-17.666523,-6.5711765,-2.5710437,3.6586401,3.8654814,5.8615313,11.143596,12.363072,17.60916,-17.666523,4.7430353678299575,0.9891199783828877
2016-04-08,0.0009,0.0049,0.0052,0.1463861,0.74124295,0.1123709,-17.196957,-6.123659,-2.5477397,2.587003,3.606223,6.2102404,11.061601,11.869537,17.227283,-17.196957,-1.3630539101235941,0.9880157819421701
2016-04-11,0.0043,-0.0011,-0.0069,0.19682507,0.65262127,0.15055358,-18.064442,-6.942516,-2.6454792,3.8486521,4.196938,6.448165,11.373463,12.411336,18.155746,-18.064442,10.020927885297205,0.9961245738343717
2016-04-12,0.0067,0.0091,0.0069,0.11098606,0.78285336,0.106160566,-17.9273,-6.357336,-2.0748723,3.871185,4.742025,7.145531,11.655989,12.858892,17.641361,-17.9273,14.45252552302362,1.0079153320878134
2016-04-13,0.0279,0.012199999999999999,-0.0064,0.109932415,0.7836946,0.10637298,-17.68123,-5.840849,-2.1191866,2.8851113,4.4502606,7.5791893,11.871838,12.733416,17.569817,-17.68123,-1.3806510854163894,1.006775627421757
2016-04-14,-0.0006,-0.0005,-0.0063,0.11449136,0.77920884,0.106299736,-17.23756,-5.4363832,-1.9906484,2.2647188,4.020676,7.207216,11.758418,12.578482,17.186361,-17.23756,3.1563148061370065,1.0093781669952944
2016-04-15,-0.0025,0.0029,0.0058,0.12133012,0.7730524,0.105617456,-17.197796,-5.3534355,-2.0546298,2.082687,3.9127793,7.2837963,11.777838,12.519081,17.242455,-17.197796,6.189316100448576,1.014494760394496
2016-04-18,0.010700000000000001,0.0043,0.0043,0.10806335,0.7852819,0.106654786,-17.35782,-5.4430337,-1.862954,2.7481,4.406601,7.6848154,11.748336,12.792601,17.059351,-17.35782,8.051667727283249,1.0211846659815282
2016-04-19,0.005699999999999999,0.0074,0.0017000000000000001,0.1089864,0.7843284,0.106685184,-17.393944,-5.3571754,-1.9774547,2.4200966,4.260332,7.684513,11.867539,12.759448,17.215342,-17.393944,-4.702340737226626,1.0172518582378132
2016-04-20,0.005699999999999999,-0.004,-0.0125,0.10756744,0.7857452,0.106687315,-17.380138,-5.4548674,-1.9242278,2.663047,4.4898624,7.600342,11.775583,12.752674,17.00368,-17.380138,-6.553525260559887,1.0117919190491866
