date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.5325677,0.12379291,0.10419635,0.07651766,0.16292536,-14.897129,-4.105701,-4.2021103,-1.692193,1.3518052,1.5318502,5.6413736,7.9563932,9.119314,9.119314,-5.193174352763232,0.9957467859518728
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.47459367,0.2973473,0.087808855,0.06553981,0.07471036,-18.712742,-4.47792,-3.860908,-2.1490178,0.7658943,3.0265706,7.9476895,8.946773,9.401117,9.401117,-23.300049620614335,0.9767451892915567
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.4739344,0.3143059,0.074184895,0.067186065,0.07038866,-20.456215,-5.392987,-4.5451055,-1.4150481,-0.13671434,3.1163957,7.815981,9.18497,11.59219,11.59219,1.4212627043290869,0.9778821356545156
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.45292434,0.3091696,0.07067233,0.06863792,0.09859578,-19.488516,-4.8012247,-4.337328,-1.5662508,0.5145513,3.2097967,7.856448,9.338528,10.861605,10.861605,1.2189628760214204,0.9788583862855454
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.45639428,0.32790908,0.07200711,0.067288764,0.076400734,-18.79465,-4.7097087,-4.232237,-1.5267754,0.60720694,3.037166,7.5262356,9.127709,10.615175,10.615175,11.485706572810443,0.9880663143782649
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.446325,0.34998986,0.06351882,0.060999542,0.07916669,-19.318794,-4.9025397,-4.055477,-1.7347286,0.17628324,2.9384968,7.869789,9.114258,10.705816,10.705816,1.9543545681253731,0.9896478310982615
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.41874507,0.39173216,0.057309955,0.05675641,0.07545632,-19.486778,-5.310742,-4.2507386,-1.4391444,-0.2396971,2.7298257,7.4378934,8.7549305,11.351719,11.351719,3.4035342405159166,0.992406471785563
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.42669627,0.37671822,0.058731187,0.0579531,0.079901166,-18.80793,-5.1238947,-4.221746,-1.4763947,0.08423507,2.6250422,7.264487,8.756316,11.039987,11.039987,-7.916284216864466,0.9859722607378069
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.42532197,0.37595966,0.059023064,0.057660602,0.082034744,-18.385248,-4.940616,-3.998661,-1.5710652,0.0684551,2.4919326,7.196661,8.651237,10.661543,10.661543,-11.202321179279403,0.9769262509600467
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.4349753,0.3739033,0.060982235,0.05928105,0.07085806,-18.643852,-4.999515,-4.1886835,-1.309608,0.06861079,2.5713246,7.063161,8.897468,11.118573,11.118573,-6.894839388717193,0.9714096665251645
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0049,-0.0075,0.4470182,0.35602444,0.06648237,0.06286623,0.06760869,-18.225107,-4.877475,-4.3028116,-1.0804667,0.2858218,2.5816765,6.673047,8.8638735,11.16881,11.16881,18.75126176669243,0.9863278949770145
2016-04-06,0.0123,0.0227,0.0111,0.0070999999999999995,0.0088,0.4434361,0.3598012,0.063122496,0.06044643,0.07319376,-18.508158,-4.8555,-4.0172157,-1.4885879,0.23551142,2.6436577,7.1825314,8.905097,10.704679,10.704679,-15.366138563183727,0.9739150767108801
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.0076,-0.0063,0.43413877,0.3748889,0.069006026,0.060389537,0.061576795,-18.860392,-4.971252,-4.207095,-1.4193156,0.3365544,2.9189484,7.316091,8.936376,10.8710785,10.8710785,10.927517807243273,0.9826312719144026
2016-04-08,0.0009,0.021099999999999997,0.0005,0.0049,0.0052,0.44889915,0.35197577,0.064393006,0.06184248,0.07288971,-17.380953,-4.63506,-3.9289975,-1.524657,0.7090864,2.6637545,6.857254,8.571954,10.09788,10.09788,-0.3226438441813356,0.9823716159512713
2016-04-11,0.0043,-0.004,-0.0033,-0.0011,-0.0069,0.42434564,0.3973681,0.062123578,0.05780993,0.058352806,-19.923872,-5.514485,-4.3712454,-1.3078134,-0.52829134,2.8844573,7.3444586,8.54674,11.479014,11.479014,19.184325081864134,0.9978066171237573
2016-04-12,0.0067,0.0292,0.0055000000000000005,0.0091,0.0069,0.4167476,0.40466633,0.0655072,0.056452967,0.056625966,-24.112179,-6.3010316,-4.6297717,-1.5820472,-1.5738949,3.672428,9.0487175,9.494633,12.732767,12.732767,16.87994227810018,1.0116009808434587
