date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-12-21,34.95,98.7081,45.62,77.03,70.1,72.8,71.63,0.04559719,0.042752117,0.24888512,0.30401614,0.17097542,0.14607225,0.041701715,-46.780224,-13.802646,-5.611788,-2.237546,-0.2615542,1.634202,5.4780383,9.686684,21.02894,-0.2615542,-0.5848132,2.7799017
2016-12-22,34.62,98.7814,45.3,76.61,69.7,72.08,70.87,0.043552853,0.0422409,0.26064172,0.30402845,0.15882285,0.14914669,0.0415665,-50.319595,-14.36074,-5.526207,-1.9269899,0.17752981,2.2129653,6.3703594,10.5811405,22.36509,0.17752981,0.14535081,2.9252524
2016-12-23,34.73,98.8636,45.37,76.75,69.75,72.23,71.06,0.038789485,0.038424205,0.25693083,0.2827355,0.18301569,0.16175537,0.038348947,-43.811707,-11.764191,-3.467989,-0.31127936,1.6872659,3.4020705,7.1464987,10.810717,20.757586,1.6872659,0.19704339,3.1222959
2016-12-27,34.93,98.87,45.42,77.09,69.81,72.34,71.23,0.3159902,0.09674957,0.13326131,0.32263848,0.043969467,0.043724384,0.0436666,-25.763142,-7.2863665,-1.8797383,0.27248386,1.6579194,3.128482,5.7882304,9.422233,18.934147,1.6579194,-0.26617807,2.8561177
2016-12-28,35.17,98.905,45.15,76.3,69.31,71.65,70.55,0.36063194,0.058717217,0.0599692,0.36727655,0.05398074,0.049714375,0.04971,-27.36573,-5.0418167,-1.206032,0.81672966,2.0588732,3.467373,5.251983,8.802155,20.930944,2.0588732,0.58876634,3.444884
2016-12-29,35.7,99.11,45.37,76.46,69.39,71.86,70.44,0.31075516,0.05395107,0.085569315,0.38579297,0.059430934,0.05225419,0.05224644,-25.79385,-4.7310114,-1.8885485,0.076886736,1.4447478,2.8605354,5.0250473,8.574679,21.704062,1.4447478,-0.500047,2.944837
2016-12-30,35.48,99.1,45.22,75.86,69.1,71.82,70.19,0.35652494,0.075121164,0.050634768,0.36760846,0.050604016,0.049753405,0.049753264,-26.237312,-4.567788,-1.0807315,1.155839,2.7510602,4.342562,6.557007,9.726072,19.781307,2.7510602,0.5361886,3.4810257
2017-01-03,35.86,99.3037,45.34,76.08,69.6,71.94,70.92,0.307674,0.07240571,0.07384621,0.38794765,0.053079195,0.052524187,0.052523132,-20.474377,-4.395563,-1.5270908,0.6071934,2.299514,3.8745198,5.969288,9.033001,18.525927,2.299514,0.7562869,4.237313
2017-01-04,36.38,99.3434,45.55,76.53,69.99,72.7997,71.67,0.31160936,0.06295364,0.07547056,0.39033812,0.05387642,0.052879356,0.052872557,-20.232914,-5.8339434,-2.6400971,-0.26384664,1.5845644,3.1800175,5.4576035,8.825432,18.456438,1.5845644,0.38668343,4.6239963
2017-01-05,36.76,99.68,45.6,76.78,69.92,72.6331,71.28,0.28335062,0.059202112,0.0994306,0.3951148,0.055747088,0.05359245,0.053562384,-21.5388,-6.819824,-3.6116288,-0.95775056,1.0243278,2.718868,4.94094,8.31357,18.064388,1.0243278,0.033003185,4.6569996
