date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.4848732,0.0698313,0.30953595,0.065706715,0.07005287,-11.076525,-4.0099277,-3.8277874,-1.3169295,1.5607278,2.7458904,4.065244,7.5349083,10.498291,10.498291,-3.991628033573882,0.9967308533713564
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.43139368,0.2058316,0.24288295,0.058400616,0.061491143,-13.638848,-3.5617905,-2.9516199,-1.9462703,1.0441786,4.1686554,6.006593,7.7804823,9.892769,9.892769,-21.212139738849736,0.9794148876516707
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.56582046,0.10641738,0.16272749,0.087400876,0.077633806,-16.457874,-5.477238,-3.8135211,-2.432273,0.7246365,4.448347,5.8810797,8.2833395,11.807435,11.807435,-0.6763364848972914,0.9788723700248317
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.5547779,0.1662498,0.12500793,0.076814555,0.07714986,-14.043154,-4.4094014,-3.5935206,-1.9967605,1.1364503,4.0872345,5.765727,7.6563983,10.093409,10.093409,2.073928483306831,0.9805350328337724
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.5480034,0.18287756,0.11725222,0.075057864,0.07680903,-13.363311,-4.371488,-3.4392123,-1.9830414,1.1806436,3.8979962,5.494871,7.101787,9.751944,9.751944,12.951477904023982,0.9909358336624932
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.5559941,0.16808437,0.12203967,0.07551954,0.07836224,-15.084024,-4.598225,-3.650223,-2.3763568,0.9552203,3.914798,5.885804,8.186202,10.645587,10.645587,2.391935325968936,0.9928770739788778
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.55580664,0.16413254,0.120104216,0.07919837,0.08075828,-16.778227,-5.231701,-4.1002274,-2.2164598,0.71126574,4.475975,5.8616953,9.003503,12.458674,12.458674,4.919983559566061,0.9968778429228959
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.5694398,0.14807336,0.12171831,0.0788682,0.08190029,-15.258208,-4.817806,-3.9287128,-2.039823,0.8395055,4.130893,5.532711,8.279816,11.660991,11.660991,-5.1745973773521685,0.9926530751329457
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.56268924,0.1497608,0.12810032,0.07658613,0.08286355,-15.265231,-4.7028704,-3.8101223,-2.031332,0.73708636,3.9979482,5.528344,8.50055,11.508905,11.508905,-11.835445199347863,0.9830310513223804
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.57777154,0.12746263,0.13236116,0.08073354,0.08167121,-14.892143,-4.625662,-3.7813003,-1.8466192,0.73824567,3.9199498,5.2016306,8.217306,11.498637,11.498637,-6.508861724866926,0.9777907456841266
