date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-10,36.1501,99.5,44.13,74.86,67.63,69.3565,67.04,0.044640224,0.2576364,0.19804043,0.05790967,0.18698397,0.12010019,0.13468911,-19.731638,-8.477263,-3.5475836,-0.7386628,1.1793351,2.9039688,5.037404,9.581089,18.356977,-19.731638,-0.21519464,-0.21519464
2016-11-11,35.4699,99.07,44.06,74.76,67.56,69.28,67.1,0.042082205,0.23232163,0.15474823,0.06674114,0.2203407,0.11504914,0.16871691,-22.23726,-8.047302,-2.7100906,0.23659378,2.018143,3.7977242,6.005632,10.645389,19.852222,-22.23726,0.002801398,-0.21239324
2016-11-14,35.02,98.9077,44.0,74.15,67.38,69.61,67.7928,0.05315454,0.2772531,0.18820813,0.06775255,0.19484459,0.114864185,0.103922926,-21.134436,-8.288515,-2.8816755,0.1657323,2.0054982,3.9985168,6.5995173,11.848419,22.09459,-21.134436,0.5151454,0.3027522
2016-11-15,35.8,99.06,44.25,74.85,67.67,70.3,68.33,0.07342295,0.25457507,0.111728355,0.106433466,0.22375825,0.11124309,0.11883881,-20.910637,-8.163532,-3.254072,-0.35238856,1.2004024,2.9623048,5.2709317,10.136126,19.791874,-20.910637,0.006769626,0.30952182
2016-11-16,35.8,99.0692,44.3,75.07,67.78,70.18,68.01,0.13223341,0.2786769,0.12668243,0.10904776,0.15092403,0.10401997,0.09841545,-19.444075,-8.563915,-3.7314487,-0.63086045,1.07852,2.6988342,4.8888164,10.098931,19.096233,-19.444075,0.25684342,0.56636524
2016-11-17,36.0,99.0,44.43,75.48,68.1,70.55,68.19,0.107296735,0.26675656,0.13918422,0.08473373,0.19119278,0.12397948,0.08685647,-21.226788,-9.4814,-4.3032036,-0.91778606,0.86430824,2.5747473,4.8694434,10.425722,19.999437,-21.226788,-0.21626592,0.35009933
2016-11-18,35.9763,98.63,44.31,75.27,67.98,70.35,68.05,0.08431767,0.19841054,0.116680555,0.10198707,0.25152764,0.12299775,0.124078676,-22.069294,-9.458185,-4.088004,-0.569673,1.2422768,3.0670264,5.527167,11.349155,21.517712,-22.069294,0.36699823,0.7170975
2016-11-21,35.9763,98.615,44.49,75.78,68.42,70.83,68.45,0.115715675,0.18847917,0.12650107,0.13030335,0.18203151,0.11939051,0.1375786,-24.56062,-11.388324,-5.570965,-1.6262286,0.37787783,2.2544062,4.862934,11.064462,21.281948,-24.56062,0.2347843,0.9518818
2016-11-22,35.9763,98.884,44.63,76.04,68.63,71.0308,68.7,0.079359144,0.19635165,0.14370511,0.10083685,0.20440787,0.13334648,0.14199287,-22.663351,-10.129625,-4.8450575,-1.0500017,0.87888694,2.6604877,5.1776,11.047143,20.773851,-22.663351,-0.060051512,0.8918303
2016-11-23,35.9763,98.587,44.52,76.2,68.43,71.1098,68.93,0.16515677,0.21715972,0.09334484,0.18616898,0.12183148,0.092121296,0.124216944,-24.106827,-10.495496,-4.2852807,-0.59795916,1.3843248,3.3676043,6.1348996,12.800751,23.853634,-24.106827,0.1697436,1.061574
