date,BIG HiBM,BIG LoBM,ME1 BM2,BIG HiBM_share,BIG LoBM_share,ME1 BM2_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2013-05-08,0.0092,0.0028000000000000004,0.0008,0.15751354,0.73739934,0.10508704,0.002694469,0.022843208,-0.04831281,-0.15177624,-0.04553377,0.010059768,1.5439323,1.3390437,1.3294274,1.3294274,-0.0030174483080705012,0.9969825516919295
2013-05-09,-0.0078000000000000005,-0.0019,0.004,0.17329729,0.7251309,0.10157183,-0.4331801,-0.3372265,-0.27290425,0.31164575,-0.37115365,-0.922033,1.5566878,2.4482336,2.5506022,2.5506022,0.004905401155352592,1.0018731510528656
2013-05-10,0.0042,0.0046,0.0086,0.1573426,0.733978,0.108679414,-0.19698617,0.25932688,-0.27051467,-0.7215574,-0.27765805,0.24659806,1.460627,1.3038037,1.2566843,1.2566843,0.0013669595047831533,1.0032426710792843
2013-05-13,0.0034999999999999996,0.0012,-0.0003,0.15085675,0.73756135,0.11158192,-0.22459377,0.28267738,-0.26354834,-0.7311808,-0.25185624,0.317087,1.2718785,1.0928277,1.0763394,1.0763394,0.010597797033190725,1.0138748332824188
2013-05-14,0.021,0.008199999999999999,0.0125,0.19485076,0.69132406,0.113825195,-0.36332953,-0.0070514493,-0.38112053,-0.2712575,-0.3840127,-0.18435584,1.1289419,1.5910114,1.4595612,1.4595612,0.004445109102874994,1.0183816175330183
2013-05-15,0.0113,0.003,0.0023,0.42883733,0.19100258,0.38016012,-0.2896467,0.25738636,-0.7918125,-0.15726997,-0.17753424,-0.44856602,0.9228865,0.68991995,0.6679535,0.6679535,-0.0063328128382563595,1.0119323973512608
2013-05-16,-0.0087,-0.005,-0.0017000000000000001,0.41298813,0.23093535,0.35607654,0.08027947,-0.4684354,-0.21647002,-0.04377287,-0.053934984,-0.5609437,0.3284335,0.6962724,0.53106356,0.53106356,0.010715314051508903,1.022775570787776
2013-05-17,0.0167,0.0084,0.0055000000000000005,0.5063517,0.16582127,0.32782698,-0.6751413,0.38209403,-0.98190516,-0.93646693,0.17626308,-0.22952911,1.1028419,-0.38245845,-0.09985049,-0.09985049,0.0014572957411408424,1.0242660572712279
2013-05-20,0.0016,-0.0011,0.0031,0.49453837,0.14849143,0.3569702,-0.09495312,-0.11472854,-0.37206912,-0.62105465,0.25056726,-0.13903691,0.44624466,0.002004955,0.021235228,0.021235228,0.0011366772577166557,1.025430317204379
2013-05-21,0.0014000000000000002,0.0005,0.0012,0.4291208,0.21920925,0.3516699,0.3565656,-0.5438585,-0.2748679,-0.5844163,0.061560236,-0.76554084,0.046763938,0.59265935,0.57439256,0.57439256,-0.010017607566714288,1.0151579586996142
2013-05-22,-0.008199999999999999,-0.0059,-0.0144,0.36130244,0.28075612,0.35794145,0.7519452,-0.99589413,-0.3405867,-0.84684026,-0.0387253,-1.3958005,0.026238725,1.0482944,1.1044772,1.1044772,-0.0008319534957408906,1.0143133944871447
2013-05-23,-0.0046,-0.0037,0.005600000000000001,0.18175964,0.7016667,0.116573595,0.23750734,-0.89952976,0.120411664,0.5199279,-0.10558565,-1.5099053,0.61348784,2.3721192,2.0864904,2.0864904,5.330722928047172e-05,1.014367464723827
2013-05-24,0.0012,0.0004,0.0034000000000000002,0.1520099,0.7426487,0.10534137,-0.053179074,-0.4721241,-0.002355583,0.20638031,-0.34144258,-1.3093772,1.1426972,3.0807018,2.5285108,2.5285108,0.00854034817442298,1.0230305160493753
2013-05-28,0.0141,0.0060999999999999995,0.018500000000000003,0.15230623,0.7454246,0.10226913,-0.32619676,-0.49143603,-0.093395814,0.59737366,-0.38316202,-1.399155,1.6068829,3.4310958,3.1094372,3.1094372,-0.007777929927408696,1.0150734563819426
2013-05-29,0.0046,-0.0095,-0.013600000000000001,0.13477023,0.7620713,0.10315855,-0.30733144,-0.22685455,0.2538589,1.1841394,-0.06555493,-1.5111133,3.7088263,4.4545455,4.955232,4.955232,0.004562190182507039,1.0197044145391718
2013-05-30,0.015,0.0025,0.006500000000000001,0.17097294,0.729875,0.099152006,-0.72528356,-0.025434857,0.33303738,0.7786643,-0.25062054,-0.79546285,2.6214054,3.3986828,4.028382,4.028382,-0.012725404773652553,1.0067282631146803
