date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-10,36.1501,99.5,44.13,74.86,67.63,69.3565,67.04,0.066053934,0.08399874,0.068580605,0.06618266,0.06683865,0.0724659,0.5758796,-39.036232,-14.344689,-5.7702603,-1.6270027,0.94161695,3.608779,6.9549885,12.597309,24.235676,6.9549885,-0.12123968,-0.12123968
2016-11-11,35.4699,99.07,44.06,74.76,67.56,69.28,67.1,0.060582135,0.07100028,0.06221434,0.06057983,0.061691068,0.06656005,0.61737233,-40.410164,-13.323325,-4.745541,-1.0882475,1.6684608,4.506633,7.709398,13.5268345,24.617973,7.709398,0.42662725,0.30538756
2016-11-14,35.02,98.9077,44.0,74.15,67.38,69.61,67.7928,0.06293751,0.07675464,0.06454298,0.063040644,0.06392345,0.06667543,0.60212535,-44.61231,-14.213527,-5.166954,-1.2132256,1.4137876,4.2006907,7.545689,13.653664,25.42152,7.545689,0.69350946,0.998897
2016-11-15,35.8,99.06,44.25,74.85,67.67,70.3,68.33,0.0712591,0.0798326,0.07218914,0.07217225,0.07256153,0.073014125,0.5589712,-48.24931,-15.0581,-5.7250605,-1.8292068,0.71883744,3.3979821,6.4362435,12.464048,24.586054,6.4362435,-0.1983611,0.8005359
2016-11-16,35.8,99.0692,44.3,75.07,67.78,70.18,68.01,0.09226511,0.094875336,0.092313066,0.102983385,0.09420305,0.09187421,0.4314859,-41.92251,-13.963127,-5.922932,-2.048902,0.79613566,3.4884844,6.740614,12.354702,22.473112,6.740614,0.2856722,1.0862081
2016-11-17,36.0,99.0,44.43,75.48,68.1,70.55,68.19,0.08598735,0.09298383,0.08731817,0.090123914,0.08736066,0.08755154,0.46867448,-44.83162,-15.049261,-6.628734,-2.593947,0.32236648,3.1321824,6.5226083,12.507788,23.532501,6.5226083,-0.19273819,0.8934699
2016-11-18,35.9763,98.63,44.31,75.27,67.98,70.35,68.05,0.07550984,0.07923196,0.075753465,0.078113995,0.0779272,0.07636205,0.53710145,-47.288845,-16.044281,-6.468683,-2.3789697,0.53333807,3.7181795,7.4203115,13.912027,26.024805,7.4203115,0.42699945,1.3204694
2016-11-21,35.9763,98.615,44.49,75.78,68.42,70.83,68.45,0.07868789,0.09150311,0.08111203,0.080272384,0.08080255,0.08129928,0.5063228,-43.949947,-15.836003,-7.0060606,-3.02567,-0.18014807,2.7929146,6.1617036,12.086205,22.99754,6.1617036,0.26635912,1.5868285
2016-11-22,35.9763,98.884,44.63,76.04,68.63,71.0308,68.7,0.07607674,0.09209998,0.0786347,0.077241056,0.07761754,0.07989255,0.5184374,-45.2538,-16.35781,-7.3378572,-3.080121,-0.09402084,2.950412,6.6488905,13.146448,25.082657,6.6488905,0.11093938,1.6977679
2016-11-23,35.9763,98.587,44.52,76.2,68.43,71.1098,68.93,0.07831265,0.07827617,0.07821385,0.093234695,0.080553755,0.07829056,0.5131183,-50.54757,-20.455227,-9.499115,-4.363423,-0.61097294,3.2798138,7.7251334,15.669064,30.419533,7.7251334,0.24982233,1.9475902
