date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.46030024,0.06420311,0.062300686,0.08792683,0.32526916,-12.194203,-2.5573337,-0.78771704,0.9349873,1.6943502,3.7571154,4.4292107,5.9724007,9.514458,1.6943502,-6.733724124834217,0.9944850744268352
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.5089359,0.07206701,0.06922056,0.26196066,0.08781576,-12.578241,-2.2222123,-1.0846006,-0.5037213,1.4130697,3.6824965,6.210716,7.180513,10.888362,1.4130697,-20.184317370944356,0.978045269051816
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.47640237,0.08128506,0.0647839,0.120493986,0.2570347,-12.147972,-1.8944733,1.031347,1.6015079,2.499581,4.329907,6.9842024,8.3755665,13.048866,2.499581,-1.0982555750760985,0.9771655445068422
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.45948967,0.076776676,0.062322468,0.28600144,0.11540976,-11.614741,-1.5304809,0.17703597,0.8814359,2.304647,3.8426545,6.315053,7.1364865,10.82361,2.304647,2.825267881124061,0.9794266046439726
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.45756957,0.07447031,0.062239632,0.32696515,0.078755386,-11.663456,-1.704198,0.25132164,0.90609896,2.222428,3.7230031,6.2160726,7.273163,10.905026,2.222428,12.333957194169857,0.9893203031013927
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.49867755,0.07309606,0.067534104,0.13057016,0.23012216,-11.786234,-1.9297364,0.15757103,0.9097471,2.2217934,4.3642364,6.0175896,6.808,10.243661,2.2217934,2.715712840827264,0.9915207206696349
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.4174713,0.06034909,0.056505766,0.06270045,0.40297332,-11.920207,-1.8497676,0.46153432,1.7625709,2.647605,4.788911,6.281852,7.144631,10.92891,2.647605,1.7153593257430606,0.9929136889864802
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.46301574,0.06623378,0.06268352,0.085797556,0.32226935,-11.548934,-2.08618,0.3246144,1.7139724,2.4604158,4.4260597,5.9032702,6.821231,10.665834,2.4604158,0.06347446710937056,0.9929653062406114
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.44636694,0.062645264,0.060416583,0.08366116,0.34691003,-11.556406,-2.096407,0.21517575,1.161858,2.3606706,4.4205585,5.756761,6.3973527,9.909007,2.3606706,-10.161468476742693,0.984701599723115
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.5181675,0.07561088,0.070177324,0.11369682,0.22234754,-11.050196,-2.0323873,0.56618065,1.8850219,2.3821886,4.1909313,5.766772,6.711486,10.631128,2.3821886,-6.602346005260503,0.9793769963870744
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0049,-0.0075,0.56519574,0.09316099,0.076807134,0.1552243,0.10961183,-11.084038,-2.0322542,0.7393663,2.3064692,2.592299,3.9375272,5.965917,7.0654855,11.358239,2.592299,14.496093716966504,0.9910044662673922
2016-04-06,0.0123,0.0227,0.0111,0.0070999999999999995,0.0088,0.50597984,0.07276228,0.06852662,0.16389394,0.18883736,-11.50325,-2.0323117,0.49252623,1.4512209,2.3223703,4.0691657,6.0029583,6.7251697,10.455269,2.3223703,-17.042739621986957,0.9771720083781037
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.0076,-0.0063,0.48518747,0.08387239,0.06659621,0.29213193,0.07221194,-11.73935,-1.5649894,0.6284944,1.3698256,2.462991,3.7591853,6.5676637,7.7719755,11.630214,2.462991,4.772137722370407,0.9809911725078545
2016-04-08,0.0009,0.021099999999999997,0.0005,0.0049,0.0052,0.5145847,0.07742646,0.069940336,0.24989408,0.08815438,-11.473694,-1.7907329,-0.023766264,1.1809474,2.2700646,3.686319,5.72842,6.5844326,9.738747,2.2700646,0.9019041497424546,0.9817157916801278
2016-04-11,0.0043,-0.004,-0.0033,-0.0011,-0.0069,0.55537325,0.08861124,0.07876407,0.08619428,0.19105715,-12.0233555,-2.2323158,1.1226617,2.130019,2.5919287,4.616796,6.748585,8.422128,13.266803,2.5919287,10.597842633878093,0.9902367330981615
