date,Durbl,Enrgy,HiTec,Manuf,NoDur,Durbl_share,Enrgy_share,HiTec_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,-0.0051,0.0021,0.0027,-0.0009,0.05319113,0.04650315,0.33184248,0.22487953,0.34358367,-6.508687,-2.6353018,-1.0897471,0.12996155,1.5202206,1.8229036,2.5507264,2.5588741,5.246165,-6.508687,-3.9318219036071964,0.9967798346407803
2016-03-22,-0.005,-0.0017000000000000001,0.0012,-0.0022,-0.008,0.046372596,0.043261178,0.3033519,0.28754756,0.31946665,-6.901082,-3.3496165,-0.93879837,0.31131154,1.066259,1.5509923,2.9978702,3.3399296,4.6881723,-6.901082,-9.532007800114316,0.988998251382146
2016-03-23,-0.022400000000000003,-0.023399999999999997,-0.0088,-0.0096,-0.001,0.04979505,0.043369412,0.303064,0.28420693,0.3195646,-6.328654,-2.7566082,-0.93621,0.24882308,1.2918049,1.409733,2.8452258,2.695646,4.356407,-6.328654,-0.401348478871994,0.988673162976086
2016-03-24,-0.0018,0.0068000000000000005,0.0009,-0.0016,-0.0011,0.049164977,0.042773973,0.30481884,0.287493,0.31574923,-6.517548,-3.36768,-0.6810007,0.5666201,0.9029359,0.97404134,3.293818,3.2412941,3.8199985,-6.517548,2.1096213881618304,0.9903813743196699
2016-03-28,0.0039000000000000003,-0.0043,-0.0024,0.0015,0.0064,0.048932686,0.04221965,0.30204698,0.29510462,0.31169608,-6.5551815,-3.1633668,-0.85915065,0.38381976,0.9389427,1.1956115,3.0767028,3.1858048,4.150525,-6.5551815,13.902748709908089,1.0016582157399316
2016-03-29,0.011699999999999999,0.004699999999999999,0.0168,0.0079,0.0103,0.054268345,0.045776837,0.32581,0.23601295,0.33813187,-6.972271,-3.4601429,-0.8419099,0.5311072,1.070697,1.2865176,3.2132215,3.2441177,4.3749876,-6.972271,5.393391352719684,1.006082732332194
2016-03-30,0.0009,0.0007000000000000001,0.0060999999999999995,0.0031,0.0048,0.069417246,0.05122293,0.35903162,0.14222117,0.37810707,-6.484983,-2.9162993,-0.8681698,0.53245574,1.3552102,1.4644039,2.8107224,2.7935355,4.5446215,-6.484983,-2.356428954962333,1.004141075918144
2016-03-31,0.0089,-0.0008,-0.0005,-0.0046,-0.0044,0.060513787,0.047465425,0.33534238,0.20620342,0.350475,-6.610556,-2.879165,-0.9777196,0.39744505,1.270362,1.5745537,2.7559536,2.8351867,4.7057924,-6.610556,8.244045099116008,1.010920915652578
2016-04-01,-0.0083,-0.0124,0.0072,0.0063,0.0118,0.06363426,0.051004972,0.3583774,0.15026847,0.37671486,-6.891617,-3.138031,-0.9274151,0.5061729,1.3018097,1.5975862,2.9212394,2.9489315,4.8104215,-6.891617,-6.499936231457264,1.0055393255733085
2016-04-04,-0.0126,-0.0074,-0.0042,-0.0085,-0.0036,0.057991553,0.046896454,0.33000168,0.21884514,0.34626514,-6.8101177,-3.0235965,-0.9182882,0.46476293,1.2648745,1.6059608,2.9576995,2.9499247,4.6029015,-6.8101177,-9.453078730821915,0.9977543604532577
2016-04-05,-0.0034000000000000002,-0.0072,-0.010700000000000001,-0.0049,-0.0075,0.05324361,0.043040622,0.30447948,0.28161424,0.31762204,-6.417741,-2.6180282,-0.98776656,0.30069363,1.2865633,1.6423404,2.714616,2.7436528,4.5973244,-6.417741,11.965752903855336,1.0075323147005368
2016-04-06,0.0123,0.0227,0.0111,0.0070999999999999995,0.0088,0.054820184,0.045643587,0.32228494,0.24016397,0.33708736,-6.863167,-3.0921972,-0.9516191,0.43478918,1.2588792,1.5764709,2.967866,3.0443296,4.7107053,-6.863167,-12.047374061611736,0.9975911855651078
2016-04-07,-0.0199,-0.0054,-0.014199999999999999,-0.0076,-0.0063,0.049115665,0.042074777,0.29927126,0.2990766,0.31046164,-6.526792,-2.7386727,-1.0874829,0.18432403,1.1155725,1.6236782,2.7112248,2.9861069,4.6062493,-6.526792,5.074057134398985,1.001736832307393
