date,Durbl,Manuf,NoDur,Durbl_share,Manuf_share,NoDur_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-03-21,0.0019,0.0027,-0.0009,0.106520094,0.7867227,0.106757246,-6.5171347,-2.2491045,-2.3644536,0.09287412,-1.6072665,1.5066606,5.271662,7.1312704,7.631333,7.631333,-0.003568937577925979,0.996431062422074
2016-03-22,-0.005,-0.0022,-0.008,0.10654524,0.7869259,0.106528886,-7.1523476,-3.4764032,-4.9491825,-1.874229,-2.260221,0.33553433,7.6470866,7.8083696,11.255536,11.255536,-0.01004814660052564,0.9864187770295395
2016-03-23,-0.022400000000000003,-0.0096,-0.001,0.10659595,0.78688455,0.106519446,-7.3370686,-3.5514014,-5.037607,-1.2481935,-2.0872526,-0.8278504,8.053474,8.321629,11.53883,11.53883,-0.0015694373700754444,0.9848706545383252
2016-03-24,-0.0018,-0.0016,-0.0011,0.106579795,0.78690284,0.10651735,-7.1002784,-3.2540085,-5.232684,-1.6256342,-1.9530654,-0.9474115,8.113342,8.196258,11.187907,11.187907,0.002277674370148411,0.9871138691860786
2016-03-28,0.0039000000000000003,0.0015,0.0064,0.106585756,0.78690255,0.106511645,-7.242947,-3.5512378,-5.228207,-1.2967598,-2.076134,-1.1010851,7.917347,8.15582,11.314155,11.314155,0.008560037842097966,0.9955636012607713
2016-03-29,0.011699999999999999,0.0079,0.0103,0.10655472,0.78692377,0.10652153,-6.937603,-3.3792608,-5.1152163,-2.439572,-1.9784791,-0.034784228,8.01633,7.693605,11.194075,11.194075,0.0030461280144984644,0.9985962154367867
2016-03-30,0.0009,0.0031,0.0048,0.10655248,0.78692865,0.10651893,-6.958033,-3.386762,-5.046062,-2.5444944,-1.9589527,0.09862882,8.065847,7.703972,11.265309,11.265309,-0.0031404631126597795,0.9954601608577658
2016-03-31,0.0089,-0.0046,-0.0044,0.1065561,0.78692716,0.10651674,-7.055577,-3.561146,-5.1042323,-2.2019835,-2.0986178,0.031913556,7.785107,7.6336646,11.262083,11.262083,0.005328832853711395,1.0007648016675055
2016-04-01,-0.0083,0.0063,0.0118,0.10653151,0.78694546,0.10652303,-6.904665,-3.4069922,-4.9310255,-2.8233128,-1.9467685,0.32374436,7.992611,7.6311827,11.282583,11.282583,-0.008416224468528891,0.992342140456469
2016-04-04,-0.0126,-0.0085,-0.0036,0.1065906,0.7868931,0.10651631,-7.185145,-3.9132354,-5.0382824,-1.986283,-2.2057998,-0.09268581,7.6625514,7.668776,11.50617,11.50617,-0.005017578024861023,0.987362986339371
2016-04-05,-0.0034000000000000002,-0.0049,-0.0075,0.10661921,0.78686696,0.10651376,-7.2678385,-4.0083494,-5.1763253,-1.3479857,-2.252448,-0.8722582,7.5602064,7.799475,11.474796,11.474796,0.007835227471241366,0.9950991999340243
2016-04-06,0.0123,0.0070999999999999995,0.0088,0.106576264,0.7869064,0.10651739,-7.098478,-3.7844384,-5.1041427,-2.0966737,-2.1769443,-0.085413665,7.619632,7.6047297,11.345336,11.345336,-0.008773024206325532,0.9863691705653079
2016-04-07,-0.0199,-0.0076,-0.0063,0.10664502,0.78684,0.106514886,-7.3099737,-3.9012282,-5.177899,-0.9674279,-2.1255262,-1.4988256,7.8395123,8.279806,11.679901,11.679901,0.004504103127320491,0.9908118790311436
2016-04-08,0.0009,0.0049,0.0052,0.10659228,0.78689784,0.10650987,-7.2702546,-3.8156602,-5.3091593,-1.501753,-2.2090182,-0.8251863,7.684493,7.7805767,11.355911,11.355911,-0.0011424885732191244,0.9896798877811408
2016-04-11,0.0043,-0.0011,-0.0069,0.10663307,0.78685427,0.106512584,-7.7007427,-3.877307,-5.081093,-0.91679275,-2.1246974,-1.0675604,8.316584,8.401654,11.969065,11.969065,0.008609130211092693,0.9982001708023482
2016-04-12,0.0067,0.0091,0.0069,0.1066091,0.7868788,0.10651209,-7.526218,-3.2207208,-4.8591366,-1.6089785,-1.7340686,-0.6596069,9.15432,8.928894,12.077773,12.077773,0.011892275881247241,1.0100710426182378
2016-04-13,0.0279,0.012199999999999999,-0.0064,0.10657057,0.7869146,0.10651481,-7.3227477,-3.2011633,-4.874269,-2.1274269,-1.7778318,-0.11303551,8.885584,8.56404,11.856748,11.856748,-0.0011303689853786442,1.008929289638633
2016-04-14,-0.0006,-0.0005,-0.0063,0.10657533,0.78690636,0.10651838,-7.1037617,-3.30397,-4.9134893,-2.2737424,-1.8506597,-0.122117735,8.410379,8.29014,11.52282,11.52282,0.0026328402340569175,1.011585639265712
2016-04-15,-0.0025,0.0029,0.0058,0.10656707,0.7869155,0.10651746,-7.1058035,-3.404367,-4.932973,-2.2923558,-1.925481,-0.0011813492,8.240482,8.113332,11.463446,11.463446,0.0049814892010501734,1.0166248422036517
2016-04-18,0.010700000000000001,0.0043,0.0043,0.106550895,0.7869322,0.10651698,-7.161529,-2.9369164,-4.7954335,-2.3010108,-1.7254208,0.08945533,8.853813,8.668525,11.606688,11.606688,0.006611090404275704,1.0233458409426925
2016-04-19,0.005699999999999999,0.0074,0.0017000000000000001,0.10655516,0.7869273,0.10651756,-7.1803727,-3.1016257,-4.879128,-2.3290617,-1.8210377,0.15492943,8.64776,8.449279,11.575937,11.575937,-0.003872432948021003,1.0193830027910058
2016-04-20,0.005699999999999999,-0.004,-0.0125,0.106549755,0.78693163,0.10651863,-7.156597,-2.8420372,-4.9135046,-2.3042943,-1.7034252,-0.042868458,8.9409275,8.685576,11.581314,11.581314,-0.0053678428877113335,1.0139111149896203
2016-04-21,-0.0009,-0.0046,-0.0155,0.10656757,0.7869138,0.10651861,-7.2975087,-3.1915197,-4.8890877,-1.9458126,-1.852413,-0.19700888,8.648153,8.572162,11.644158,11.644158,0.004584007203793884,1.0185588908447394
2016-04-22,0.0021,0.0045000000000000005,0.0077,0.10655642,0.7869273,0.10651629,-7.1633883,-3.259789,-4.8704286,-2.315047,-1.8888621,0.19868082,8.428183,8.266978,11.537755,11.537755,-0.004299118177035535,1.0141799858027276
2016-04-25,-0.0063,-0.0053,0.0051,0.10656811,0.7869145,0.1065173,-7.306406,-3.4133415,-4.902763,-1.8755764,-1.9630055,-0.17041117,8.334507,8.351688,11.578525,11.578525,0.006350932916525624,1.0206209748578436
2016-04-26,0.0146,0.006,0.0007000000000000001,0.10655828,0.7869242,0.10651747,-7.252313,-3.2257311,-5.009777,-1.9596478,-1.9288512,-0.20083588,8.416014,8.377644,11.474323,11.474323,0.006537763953327223,1.027293553877279
2016-04-27,0.0002,0.0077,0.0043,0.1065636,0.7869191,0.106517255,-7.2681165,-3.1809423,-5.04806,-2.0496073,-1.8621016,-0.27790937,8.59873,8.473296,11.563315,11.563315,-0.007826744986686486,1.0192531892046146
2016-04-28,-0.0073,-0.0092,0.0018,0.10660787,0.78688115,0.10651097,-7.540554,-3.2816641,-5.087866,-1.2872711,-1.8788849,-1.0489497,8.756287,8.876343,11.748842,11.748842,-0.00367235703662951,1.015510127583132
2016-04-29,-0.0127,-0.0034999999999999996,0.0040999999999999995,0.106617495,0.78687245,0.10651006,-7.5315566,-3.451685,-5.079268,-1.042617,-1.9420264,-1.269334,8.538977,8.855855,11.78358,11.78358,0.005386435043312788,1.0209801069211848
