date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2016-11-29,36.4,98.8399,45.02,76.6,68.5,71.33,68.81,0.19694355,0.20271,0.11300277,0.13188216,0.10651889,0.09860059,0.1503421,-42.428234,-16.5196,-8.444542,-3.5415084,-0.5347213,2.5700068,5.6341667,10.851141,26.322786,-0.5347213,-0.31070873,1.5214659
2016-11-30,36.45,98.8,44.45,75.42,68.1,71.13,69.07,0.1875992,0.22285828,0.12233727,0.13985966,0.11205312,0.10109731,0.114195175,-42.356876,-16.490274,-8.340063,-3.339811,-0.24097373,2.9397714,6.059857,11.358304,26.731335,-0.24097373,-0.6575791,0.8638868
2016-12-01,35.87,98.84,44.08,74.0,67.87,70.5,69.17,0.103988245,0.09227004,0.08935796,0.11662242,0.1055488,0.0960217,0.39619082,-52.55648,-21.665741,-11.735354,-5.4540544,-1.2654015,3.154557,7.740852,15.214971,33.724117,-1.2654015,0.026374383,0.8902612
2016-12-02,35.74,99.2,44.22,74.44,67.87,70.5442,69.05,0.08179564,0.077656,0.07684533,0.08376233,0.09562521,0.09012783,0.49418762,-59.80913,-25.306728,-13.907995,-6.7771277,-2.1879597,2.7392044,7.4711065,15.788303,34.979683,-2.1879597,0.40827987,1.2985411
2016-12-05,35.75,99.24,44.33,74.99,68.17,71.0999,69.44,0.10000714,0.08575952,0.088205434,0.09867109,0.12611263,0.15736184,0.34388235,-63.115562,-26.511866,-15.214358,-7.5636783,-2.7409527,2.0167706,6.3223553,14.080677,32.569126,-2.7409527,0.36378944,1.6623305
2016-12-06,36.11,98.96,44.46,75.18,68.29,71.4699,69.83,0.08748665,0.08305564,0.08909006,0.08354435,0.114047855,0.16933039,0.37344503,-47.60631,-19.212679,-10.033471,-4.338203,-0.8468059,2.7253647,5.8169365,12.343524,27.266047,-0.8468059,1.1302861,2.7926166
2016-12-07,36.4786,99.6099,45.01,76.16,69.19,72.32,70.95,0.090891495,0.078815766,0.08124013,0.084518604,0.1258032,0.17334734,0.36538348,-47.594273,-21.023882,-11.664504,-5.954869,-2.2672167,1.6592035,5.1206603,11.935094,27.74904,-2.2672167,0.24045752,3.0330741
2016-12-08,36.4786,99.06,45.03,76.13,69.33,72.75,71.32,0.07131555,0.49473277,0.13434544,0.07147213,0.07177844,0.07264627,0.083709404,-39.29216,-20.240108,-11.872948,-5.594643,-1.6300509,2.1147764,5.38534,10.968108,22.8903,-1.6300509,0.20666973,3.239744
2016-12-09,36.49,99.1418,45.32,76.35,69.7,72.7709,71.71,0.057827115,0.22672084,0.34070438,0.13263091,0.09282745,0.09162099,0.05766824,-42.932224,-13.984472,-7.5823627,-3.9124215,-0.75852036,1.9315193,4.592356,10.260138,26.353598,-0.75852036,0.08139645,3.3211403
2016-12-12,36.18,99.1425,45.54,76.26,69.82,72.7537,71.44,0.059838247,0.26188478,0.3041296,0.15341501,0.09537423,0.06758938,0.05776879,-46.107708,-14.529417,-7.720409,-3.6872091,-0.18001737,2.8323848,5.1381426,10.968283,28.869377,-0.18001737,0.4075556,3.7286959
